tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(Cn2cccn2)cc(ON=C(C)C)c1C#N>>COc1cc(Cn2cccn2)cc2onc(N)c12	5	COc1cc(Cn2cccn2)cc(ON=C(C)C)c1C#N>>COc1cc(Cn2cccn2)cc2onc(N)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(Br)cc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12	5	COc1cc(Br)cc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(CO)cc(F)c1C#N.c1cn[nH]c1>>COc1cc(Cn2cccn2)cc(F)c1C#N	5	COc1cc(CO)cc(F)c1C#N.c1cn[nH]c1>>COc1cc(Cn2cccn2)cc(F)c1C#N
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(Br)cc(OC)c1S(=O)(=O)Cl.COc1cc(Cn2cccn2)cc2onc(N)c12>>COc1cc(Br)cc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12	5	COc1cc(Br)cc(OC)c1S(=O)(=O)Cl.COc1cc(Cn2cccn2)cc2onc(N)c12>>COc1cc(Br)cc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	CC(C)=NO.COc1cc(Cn2cccn2)cc(F)c1C#N>>COc1cc(Cn2cccn2)cc(ON=C(C)C)c1C#N	6	CC(C)=NO.COc1cc(Cn2cccn2)cc(F)c1C#N>>COc1cc(Cn2cccn2)cc(ON=C(C)C)c1C#N
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(Cn2cccn2)cc(ON=C(C)C)c1C#N>>COc1cc(Cn2cccn2)cc2onc(N)c12	6	COc1cc(Cn2cccn2)cc(ON=C(C)C)c1C#N>>COc1cc(Cn2cccn2)cc2onc(N)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(Cn2cccn2)cc2onc(N)c12.COc1ccc(Br)c(OC)c1S(=O)(=O)Cl>>COc1ccc(Br)c(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12	6	COc1cc(Cn2cccn2)cc2onc(N)c12.COc1ccc(Br)c(OC)c1S(=O)(=O)Cl>>COc1ccc(Br)c(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1ccc(Br)c(OC)c1Br>>COc1ccc(Br)c(OC)c1S(=O)(=O)Cl	6	COc1ccc(Br)c(OC)c1Br>>COc1ccc(Br)c(OC)c1S(=O)(=O)Cl
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(CO)cc(F)c1C#N.c1cn[nH]c1>>COc1cc(Cn2cccn2)cc(F)c1C#N	6	COc1cc(CO)cc(F)c1C#N.c1cn[nH]c1>>COc1cc(Cn2cccn2)cc(F)c1C#N
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1ccc(Br)c(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12	6	COc1ccc(Br)c(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(Cn2cccn2)cc2onc(N)c12>>COc1c(Br)c(Cn2cccn2)cc2onc(N)c12	7	COc1cc(Cn2cccn2)cc2onc(N)c12>>COc1c(Br)c(Cn2cccn2)cc2onc(N)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1c(Br)c(Cn2cccn2)cc2onc(N)c12.COc1cccc(OC)c1S(=O)(=O)Cl>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)c(Br)c(OC)c12	7	COc1c(Br)c(Cn2cccn2)cc2onc(N)c12.COc1cccc(OC)c1S(=O)(=O)Cl>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)c(Br)c(OC)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(CO)cc(F)c1C#N.c1cn[nH]c1>>COc1cc(Cn2cccn2)cc(F)c1C#N	7	COc1cc(CO)cc(F)c1C#N.c1cn[nH]c1>>COc1cc(Cn2cccn2)cc(F)c1C#N
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cc(Cn2cccn2)cc(F)c1C#N>>COc1cc(Cn2cccn2)cc2onc(N)c12	7	COc1cc(Cn2cccn2)cc(F)c1C#N>>COc1cc(Cn2cccn2)cc2onc(N)c12
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)c(Br)c(OC)c12>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12	7	COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)c(Br)c(OC)c12>>COc1cccc(OC)c1S(=O)(=O)Nc1noc2cc(Cn3cccn3)cc(OC)c12
