tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)Cl.FC(F)(F)Oc1ccc2[nH]ccc2c1>>CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	3	Cl[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12>>COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	4	[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH:10]([Br:11])[C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(Cl)ccc1Cl>>COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	4	[CH3:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12.Cl[c:9]1[c:3]([O:2][CH3:1])[cH:4][c:5]([Cl:6])[cH:7][cH:8]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)N(C)C.FC(F)(F)Oc1ccc2[nH]ccc2c1>>CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	4	CN(C)[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(N)cc(S(C)(=O)=O)c1>>COc1cc(NC(C(=O)c2c[nH]c3ccc(OC(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1	4	Br[CH:7]([C:8](=[O:9])[c:10]1[cH:11][nH:12][c:13]2[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]12)[c:24]1[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]1[O:31][CH3:32].[CH3:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][CH:7]([C:8](=[O:9])[c:10]2[cH:11][nH:12][c:13]3[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]23)[c:24]2[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]2[O:31][CH3:32])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1CC(=O)Cl.FC(F)(F)Oc1ccc2[nH]ccc2c1>>COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	5	Cl[C:11]([CH2:10][c:9]1[c:3]([O:2][CH3:1])[cH:4][c:5]([Cl:6])[cH:7][cH:8]1)=[O:12].[cH:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1CC(=O)O.O=S(Cl)Cl>>COc1cc(Cl)ccc1CC(=O)Cl	5	O[C:11]([CH2:10][c:9]1[c:3]([O:2][CH3:1])[cH:4][c:5]([Cl:6])[cH:7][cH:8]1)=[O:12].O=S(Cl)[Cl:13]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:11](=[O:12])[Cl:13]
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12>>COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	5	[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH:10]([Br:11])[C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(N)cc(S(C)(=O)=O)c1>>COc1cc(NC(C(=O)c2c[nH]c3ccc(OC(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1	5	Br[CH:7]([C:8](=[O:9])[c:10]1[cH:11][nH:12][c:13]2[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]12)[c:24]1[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]1[O:31][CH3:32].[CH3:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][CH:7]([C:8](=[O:9])[c:10]2[cH:11][nH:12][c:13]3[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]23)[c:24]2[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]2[O:31][CH3:32])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(Cl)ccc1Cl>>COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	6	[CH3:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12.Cl[c:9]1[c:3]([O:2][CH3:1])[cH:4][c:5]([Cl:6])[cH:7][cH:8]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12>>COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	6	[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH:10]([Br:11])[C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(N)cc(S(C)(=O)=O)c1>>COc1cc(NC(C(=O)c2c[nH]c3ccc(OC(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1	6	Br[CH:7]([C:8](=[O:9])[c:10]1[cH:11][nH:12][c:13]2[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]12)[c:24]1[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]1[O:31][CH3:32].[CH3:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][CH:7]([C:8](=[O:9])[c:10]2[cH:11][nH:12][c:13]3[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]23)[c:24]2[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]2[O:31][CH3:32])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1
QNOPDDHSGQQLCV-UHFFFAOYSA-N	FC(F)(F)Oc1ccc2[nH]ccc2c1>>CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	6	[cH:1]1[cH:8][c:7]2[nH:6][cH:5][cH:4][c:17]2[cH:16][c:10]1[O:3][C:2]([F:13])([F:14])[F:15]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(Cl)ccc1Cl>>COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	7	[CH3:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12.Cl[c:9]1[c:3]([O:2][CH3:1])[cH:4][c:5]([Cl:6])[cH:7][cH:8]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)C(C)C(C)=O.FC(F)(F)Oc1ccc2[nH]ccc2c1>>CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	7	CC(=O)C(C)[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12>>COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	7	[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH:10]([Br:11])[C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(N)cc(S(C)(=O)=O)c1>>COc1cc(NC(C(=O)c2c[nH]c3ccc(OC(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1	7	Br[CH:7]([C:8](=[O:9])[c:10]1[cH:11][nH:12][c:13]2[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]12)[c:24]1[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]1[O:31][CH3:32].[CH3:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][CH:7]([C:8](=[O:9])[c:10]2[cH:11][nH:12][c:13]3[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]23)[c:24]2[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]2[O:31][CH3:32])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(Cl)ccc1Cl>>COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	8	[CH3:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12.Cl[c:9]1[c:3]([O:2][CH3:1])[cH:4][c:5]([Cl:6])[cH:7][cH:8]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:11](=[O:12])[c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][c:26]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12>>COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	8	[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH2:10][C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Cl:6])[cH:7][cH:8][c:9]1[CH:10]([Br:11])[C:12](=[O:13])[c:14]1[cH:15][nH:16][c:17]2[cH:18][cH:19][c:20]([O:21][C:22]([F:23])([F:24])[F:25])[cH:26][c:27]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	COc1cc(Cl)ccc1C(Br)C(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12.COc1cc(N)cc(S(C)(=O)=O)c1>>COc1cc(NC(C(=O)c2c[nH]c3ccc(OC(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1	8	Br[CH:7]([C:8](=[O:9])[c:10]1[cH:11][nH:12][c:13]2[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]12)[c:24]1[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]1[O:31][CH3:32].[CH3:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][CH:7]([C:8](=[O:9])[c:10]2[cH:11][nH:12][c:13]3[cH:14][cH:15][c:16]([O:17][C:18]([F:19])([F:20])[F:21])[cH:22][c:23]23)[c:24]2[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]2[O:31][CH3:32])[cH:33][c:34]([S:35]([CH3:36])(=[O:37])=[O:38])[cH:39]1
QNOPDDHSGQQLCV-UHFFFAOYSA-N	CC(=O)OC(C)=O.FC(F)(F)Oc1ccc2[nH]ccc2c1>>CC(=O)c1c[nH]c2ccc(OC(F)(F)F)cc12	8	CC(=O)O[C:2]([CH3:1])=[O:3].[cH:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][c:17]12
QNOPDDHSGQQLCV-UHFFFAOYSA-N	FC(F)(F)Oc1ccc2[nH]ccc2c1>>FC(F)(F)Oc1ccc2[nH]cc(Br)c2c1	9	[F:1][C:2]([F:3])([F:4])[O:5][c:6]1[cH:7][cH:8][c:9]2[nH:10][cH:11][cH:12][c:14]2[cH:15]1>>[F:1][C:2]([F:3])([F:4])[O:5][c:6]1[cH:7][cH:8][c:9]2[nH:10][cH:11][c:12]([Br:13])[c:14]2[cH:15]1
