tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(Cl)cn1)c1csc(NS(=O)(=O)C2CC2)n1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	3	Cl[c:10]1[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:22]2[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]3[CH2:31][CH2:32]3)[n:33]2)=[O:5])[n:21][cH:20]1.CC1(C)OB([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)OC1(C)C>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)[cH:20][n:21]1)[c:22]1[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]2[CH2:31][CH2:32]2)[n:33]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1>>CC(C)(C(N)=O)c1csc(NS(=O)(=O)C2CC2)n1	3	CO[C:4]([C:2]([CH3:1])([CH3:3])[c:7]1[n:5][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[s:9][cH:8]1)=[O:6]>>[CH3:1][C:2]([CH3:3])([C:4]([NH2:5])=[O:6])[c:7]1[cH:8][s:9][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[n:18]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(N)=O)c1csc(NS(=O)(=O)C2CC2)n1.Clc1ccc(Cl)nc1>>CC(C)(C(=O)Nc1ccc(Cl)cn1)c1csc(NS(=O)(=O)C2CC2)n1	3	[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH2:6])[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1.Cl[c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][n:13]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][n:13]1)[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(N)n1.O=S(=O)(Cl)C1CC1>>COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1	3	[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH2:12])[n:19]1.Cl[S:13](=[O:14])(=[O:15])[CH:16]1[CH2:17][CH2:18]1>>[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH:12][S:13](=[O:14])(=[O:15])[CH:16]2[CH2:17][CH2:18]2)[n:19]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1.FC(F)(F)c1cncc(Cl)n1>>CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	3	CC1(C)OB([c:10]2[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:23]3[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]4[CH2:32][CH2:33]4)[n:34]3)=[O:5])[n:22][cH:21]2)OC1(C)C.Cl[c:11]1[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]2)[cH:21][n:22]1)[c:23]1[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]2[CH2:32][CH2:33]2)[n:34]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1>>CC(C)(C(=O)O)c1csc(NS(=O)(=O)C2CC2)n1	4	C[O:6][C:4]([C:2]([CH3:1])([CH3:3])[c:7]1[cH:8][s:9][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[n:18]1)=[O:5]>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[OH:6])[c:7]1[cH:8][s:9][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[n:18]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1.FC(F)(F)c1cncc(Cl)n1>>CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	4	CC1(C)OB([c:10]2[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:23]3[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]4[CH2:32][CH2:33]4)[n:34]3)=[O:5])[n:22][cH:21]2)OC1(C)C.Cl[c:11]1[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]2)[cH:21][n:22]1)[c:23]1[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]2[CH2:32][CH2:33]2)[n:34]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(N)n1.O=S(=O)(Cl)C1CC1>>COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1	4	[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH2:12])[n:19]1.Cl[S:13](=[O:14])(=[O:15])[CH:16]1[CH2:17][CH2:18]1>>[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH:12][S:13](=[O:14])(=[O:15])[CH:16]2[CH2:17][CH2:18]2)[n:19]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(I)cn1)c1csc(NS(=O)(=O)C2CC2)n1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	4	I[c:10]1[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:22]2[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]3[CH2:31][CH2:32]3)[n:33]2)=[O:5])[n:21][cH:20]1.CC1(C)OB([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)OC1(C)C>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)[cH:20][n:21]1)[c:22]1[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]2[CH2:31][CH2:32]2)[n:33]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)O)c1csc(NS(=O)(=O)C2CC2)n1.Nc1ccc(I)cn1>>CC(C)(C(=O)Nc1ccc(I)cn1)c1csc(NS(=O)(=O)C2CC2)n1	4	O[C:4]([C:2]([CH3:1])([CH3:3])[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1)=[O:5].[NH2:6][c:7]1[cH:8][cH:9][c:10]([I:11])[cH:12][n:13]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([I:11])[cH:12][n:13]1)[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(Br)cn1)c1csc(NS(=O)(=O)C2CC2)n1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	5	Br[c:10]1[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:22]2[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]3[CH2:31][CH2:32]3)[n:33]2)=[O:5])[n:21][cH:20]1.CC1(C)OB([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)OC1(C)C>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)[cH:20][n:21]1)[c:22]1[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]2[CH2:31][CH2:32]2)[n:33]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1>>CC(C)(C(=O)O)c1csc(NS(=O)(=O)C2CC2)n1	5	C[O:6][C:4]([C:2]([CH3:1])([CH3:3])[c:7]1[cH:8][s:9][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[n:18]1)=[O:5]>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[OH:6])[c:7]1[cH:8][s:9][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[n:18]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(N)n1.O=S(=O)(Cl)C1CC1>>COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1	5	[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH2:12])[n:19]1.Cl[S:13](=[O:14])(=[O:15])[CH:16]1[CH2:17][CH2:18]1>>[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH:12][S:13](=[O:14])(=[O:15])[CH:16]2[CH2:17][CH2:18]2)[n:19]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1.FC(F)(F)c1cncc(Cl)n1>>CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	5	CC1(C)OB([c:10]2[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:23]3[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]4[CH2:32][CH2:33]4)[n:34]3)=[O:5])[n:22][cH:21]2)OC1(C)C.Cl[c:11]1[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]2)[cH:21][n:22]1)[c:23]1[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]2[CH2:32][CH2:33]2)[n:34]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)O)c1csc(NS(=O)(=O)C2CC2)n1.Nc1ccc(Br)cn1>>CC(C)(C(=O)Nc1ccc(Br)cn1)c1csc(NS(=O)(=O)C2CC2)n1	5	O[C:4]([C:2]([CH3:1])([CH3:3])[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1)=[O:5].[NH2:6][c:7]1[cH:8][cH:9][c:10]([Br:11])[cH:12][n:13]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([Br:11])[cH:12][n:13]1)[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1>>CC(C)(C(=O)O)c1csc(NS(=O)(=O)C2CC2)n1	6	C[O:6][C:4]([C:2]([CH3:1])([CH3:3])[c:7]1[cH:8][s:9][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[n:18]1)=[O:5]>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[OH:6])[c:7]1[cH:8][s:9][c:10]([NH:11][S:12](=[O:13])(=[O:14])[CH:15]2[CH2:16][CH2:17]2)[n:18]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(Cl)cn1)c1csc(NS(=O)(=O)C2CC2)n1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	6	Cl[c:10]1[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:22]2[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]3[CH2:31][CH2:32]3)[n:33]2)=[O:5])[n:21][cH:20]1.CC1(C)OB([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)OC1(C)C>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)[cH:20][n:21]1)[c:22]1[cH:23][s:24][c:25]([NH:26][S:27](=[O:28])(=[O:29])[CH:30]2[CH2:31][CH2:32]2)[n:33]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	COC(=O)C(C)(C)c1csc(N)n1.O=S(=O)(Cl)C1CC1>>COC(=O)C(C)(C)c1csc(NS(=O)(=O)C2CC2)n1	6	[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH2:12])[n:19]1.Cl[S:13](=[O:14])(=[O:15])[CH:16]1[CH2:17][CH2:18]1>>[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][s:10][c:11]([NH:12][S:13](=[O:14])(=[O:15])[CH:16]2[CH2:17][CH2:18]2)[n:19]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cn1)c1csc(NS(=O)(=O)C2CC2)n1.FC(F)(F)c1cncc(Cl)n1>>CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cn1)c1csc(NS(=O)(=O)C2CC2)n1	6	CC1(C)OB([c:10]2[cH:9][cH:8][c:7]([NH:6][C:4]([C:2]([CH3:1])([CH3:3])[c:23]3[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]4[CH2:32][CH2:33]4)[n:34]3)=[O:5])[n:22][cH:21]2)OC1(C)C.Cl[c:11]1[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][n:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[n:20]2)[cH:21][n:22]1)[c:23]1[cH:24][s:25][c:26]([NH:27][S:28](=[O:29])(=[O:30])[CH:31]2[CH2:32][CH2:33]2)[n:34]1
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)O)c1csc(NS(=O)(=O)C2CC2)n1.Nc1ccc(Cl)cn1>>CC(C)(C(=O)Nc1ccc(Cl)cn1)c1csc(NS(=O)(=O)C2CC2)n1	6	O[C:4]([C:2]([CH3:1])([CH3:3])[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1)=[O:5].[NH2:6][c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][n:13]1>>[CH3:1][C:2]([CH3:3])([C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][n:13]1)[c:14]1[cH:15][s:16][c:17]([NH:18][S:19](=[O:20])(=[O:21])[CH:22]2[CH2:23][CH2:24]2)[n:25]1
