tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C1CNCCN1.Cc1cc(Nc2ncnc3cnc(S(C)(=O)=O)nc23)ccc1Oc1ccc2c(c1)ncn2C>>Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C	3	[NH:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1.CS(=O)(=O)[c:13]1[n:12][cH:11][c:10]2[n:9][cH:8][n:7][c:6]([NH:5][c:4]3[cH:3][c:2]([CH3:1])[c:24]([O:25][c:26]4[cH:27][cH:28][c:29]5[c:30]([cH:31]4)[n:32][cH:33][n:34]5[CH3:35])[cH:23][cH:22]3)[c:21]2[n:20]1>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][c:6]2[n:7][cH:8][n:9][c:10]3[cH:11][n:12][c:13]([N:14]4[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]4)[n:20][c:21]23)[cH:22][cH:23][c:24]1[O:25][c:26]1[cH:27][cH:28][c:29]2[c:30]([cH:31]1)[n:32][cH:33][n:34]2[CH3:35]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C=CC(=O)Cl.Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C>>C=CC(=O)N1CCN(c2ncc3ncnc(Nc4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c3n2)CC1	3	Cl[C:3]([CH:2]=[CH2:1])=[O:4].[NH:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1>>[CH2:1]=[CH:2][C:3](=[O:4])[N:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1
JKBYBPNRTMHEGS-UHFFFAOYSA-N	CSc1ncc2ncnc(Nc3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c2n1>>Cc1cc(Nc2ncnc3cnc(S(C)(=O)=O)nc23)ccc1Oc1ccc2c(c1)ncn2C	3	[CH3:1][c:2]1[cH:3][c:4]([NH:5][c:6]2[n:7][cH:8][n:9][c:10]3[cH:11][n:12][c:13]([S:14][CH3:15])[n:18][c:19]23)[cH:20][cH:21][c:22]1[O:16][c:24]1[cH:25][cH:26][c:27]2[c:28]([cH:29]1)[n:30][cH:31][n:32]2[CH3:33]>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][c:6]2[n:7][cH:8][n:9][c:10]3[cH:11][n:12][c:13]([S:14]([CH3:15])(=[O:16])=[O:17])[n:18][c:19]23)[cH:20][cH:21][c:22]1[O:23][c:24]1[cH:25][cH:26][c:27]2[c:28]([cH:29]1)[n:30][cH:31][n:32]2[CH3:33]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	CSc1ncc2nc[nH]c(=O)c2n1.Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C>>CSc1ncc2ncnc(Nc3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c2n1	3	O=[c:10]1[nH:9][cH:8][n:7][c:6]2[cH:5][n:4][c:3]([S:2][CH3:1])[n:31][c:30]21.[NH2:11][c:12]1[cH:13][cH:14][c:15]([O:16][c:17]2[cH:18][cH:19][c:20]3[c:21]([cH:22]2)[n:23][cH:24][n:25]3[CH3:26])[c:27]([CH3:28])[cH:29]1>>[CH3:1][S:2][c:3]1[n:4][cH:5][c:6]2[n:7][cH:8][n:9][c:10]([NH:11][c:12]3[cH:13][cH:14][c:15]([O:16][c:17]4[cH:18][cH:19][c:20]5[c:21]([cH:22]4)[n:23][cH:24][n:25]5[CH3:26])[c:27]([CH3:28])[cH:29]3)[c:30]2[n:31]1
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(N)ccc1F.Cn1cnc2cc(O)ccc21>>Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C	3	F[c:8]1[c:2]([CH3:1])[cH:3][c:4]([NH2:5])[cH:6][cH:7]1.[OH:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]>>[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[cH:6][cH:7][c:8]1[O:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C.Clc1ncnc2cnc(N3CCNCC3)nc12>>Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C	4	[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[cH:22][cH:23][c:24]1[O:25][c:26]1[cH:27][cH:28][c:29]2[c:30]([cH:31]1)[n:32][cH:33][n:34]2[CH3:35].Cl[c:6]1[n:7][cH:8][n:9][c:10]2[cH:11][n:12][c:13]([N:14]3[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]3)[n:20][c:21]12>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][c:6]2[n:7][cH:8][n:9][c:10]3[cH:11][n:12][c:13]([N:14]4[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]4)[n:20][c:21]23)[cH:22][cH:23][c:24]1[O:25][c:26]1[cH:27][cH:28][c:29]2[c:30]([cH:31]1)[n:32][cH:33][n:34]2[CH3:35]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(Br)ccc1F.Cn1cnc2cc(O)ccc21>>Cc1cc(Br)ccc1Oc1ccc2c(c1)ncn2C	4	F[c:8]1[c:2]([CH3:1])[cH:3][c:4]([Br:5])[cH:6][cH:7]1.[OH:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]>>[CH3:1][c:2]1[cH:3][c:4]([Br:5])[cH:6][cH:7][c:8]1[O:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C=CC(=O)Cl.Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C>>C=CC(=O)N1CCN(c2ncc3ncnc(Nc4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c3n2)CC1	4	Cl[C:3]([CH:2]=[CH2:1])=[O:4].[NH:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1>>[CH2:1]=[CH:2][C:3](=[O:4])[N:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(Br)ccc1Oc1ccc2c(c1)ncn2C>>Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C	4	Br[c:4]1[cH:3][c:2]([CH3:1])[c:8]([O:9][c:10]2[cH:11][cH:12][c:13]3[c:14]([n:5][cH:17][n:18]3[CH3:19])[cH:15]2)[cH:7][cH:6]1>>[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[cH:6][cH:7][c:8]1[O:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	CSc1ncc2ncnc(Cl)c2n1>>CS(=O)(=O)c1ncc2ncnc(Cl)c2n1	4	[CH3:1][S:2][c:5]1[n:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([Cl:13])[c:14]2[n:15]1>>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[n:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([Cl:13])[c:14]2[n:15]1
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C1CNCCN1.CS(=O)(=O)c1ncc2ncnc(Cl)c2n1>>Clc1ncnc2cnc(N3CCNCC3)nc12	4	[NH:10]1[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]1.CS(=O)(=O)[c:9]1[n:8][cH:7][c:6]2[n:5][cH:4][n:3][c:2]([Cl:1])[c:17]2[n:16]1>>[Cl:1][c:2]1[n:3][cH:4][n:5][c:6]2[cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]3)[n:16][c:17]12
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C.Clc1ncnc2cnc(N3CCNCC3)nc12>>Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C	5	[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[cH:22][cH:23][c:24]1[O:25][c:26]1[cH:27][cH:28][c:29]2[c:30]([cH:31]1)[n:32][cH:33][n:34]2[CH3:35].Cl[c:6]1[n:7][cH:8][n:9][c:10]2[cH:11][n:12][c:13]([N:14]3[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]3)[n:20][c:21]12>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][c:6]2[n:7][cH:8][n:9][c:10]3[cH:11][n:12][c:13]([N:14]4[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]4)[n:20][c:21]23)[cH:22][cH:23][c:24]1[O:25][c:26]1[cH:27][cH:28][c:29]2[c:30]([cH:31]1)[n:32][cH:33][n:34]2[CH3:35]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(Br)ccc1O.Cn1cnc2cc(F)ccc21>>Cc1cc(Br)ccc1Oc1ccc2c(c1)ncn2C	5	[CH3:1][c:2]1[cH:3][c:4]([Br:5])[cH:6][cH:7][c:8]1[OH:9].F[c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]>>[CH3:1][c:2]1[cH:3][c:4]([Br:5])[cH:6][cH:7][c:8]1[O:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C=CC(=O)Cl.Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C>>C=CC(=O)N1CCN(c2ncc3ncnc(Nc4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c3n2)CC1	5	Cl[C:3]([CH:2]=[CH2:1])=[O:4].[NH:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1>>[CH2:1]=[CH:2][C:3](=[O:4])[N:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(Br)ccc1Oc1ccc2c(c1)ncn2C>>Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C	5	Br[c:4]1[cH:3][c:2]([CH3:1])[c:8]([O:9][c:10]2[cH:11][cH:12][c:13]3[c:14]([n:5][cH:17][n:18]3[CH3:19])[cH:15]2)[cH:7][cH:6]1>>[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[cH:6][cH:7][c:8]1[O:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	CSc1ncc2ncnc(Cl)c2n1>>CS(=O)(=O)c1ncc2ncnc(Cl)c2n1	5	[CH3:1][S:2][c:5]1[n:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([Cl:13])[c:14]2[n:15]1>>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[n:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([Cl:13])[c:14]2[n:15]1
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C1CNCCN1.CS(=O)(=O)c1ncc2ncnc(Cl)c2n1>>Clc1ncnc2cnc(N3CCNCC3)nc12	5	[NH:10]1[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]1.CS(=O)(=O)[c:9]1[n:8][cH:7][c:6]2[n:5][cH:4][n:3][c:2]([Cl:1])[c:17]2[n:16]1>>[Cl:1][c:2]1[n:3][cH:4][n:5][c:6]2[cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]3)[n:16][c:17]12
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C.Clc1ncnc2cnc(N3CCNCC3)nc12>>Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C	6	[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[cH:22][cH:23][c:24]1[O:25][c:26]1[cH:27][cH:28][c:29]2[c:30]([cH:31]1)[n:32][cH:33][n:34]2[CH3:35].Cl[c:6]1[n:7][cH:8][n:9][c:10]2[cH:11][n:12][c:13]([N:14]3[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]3)[n:20][c:21]12>>[CH3:1][c:2]1[cH:3][c:4]([NH:5][c:6]2[n:7][cH:8][n:9][c:10]3[cH:11][n:12][c:13]([N:14]4[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]4)[n:20][c:21]23)[cH:22][cH:23][c:24]1[O:25][c:26]1[cH:27][cH:28][c:29]2[c:30]([cH:31]1)[n:32][cH:33][n:34]2[CH3:35]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C=CC(=O)Cl.Cc1cc(Nc2ncnc3cnc(N4CCNCC4)nc23)ccc1Oc1ccc2c(c1)ncn2C>>C=CC(=O)N1CCN(c2ncc3ncnc(Nc4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c3n2)CC1	6	Cl[C:3]([CH:2]=[CH2:1])=[O:4].[NH:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1>>[CH2:1]=[CH:2][C:3](=[O:4])[N:5]1[CH2:6][CH2:7][N:8]([c:9]2[n:10][cH:11][c:12]3[n:13][cH:14][n:15][c:16]([NH:17][c:18]4[cH:19][cH:20][c:21]([O:22][c:23]5[cH:24][cH:25][c:26]6[c:27]([cH:28]5)[n:29][cH:30][n:31]6[CH3:32])[c:33]([CH3:34])[cH:35]4)[c:36]3[n:37]2)[CH2:38][CH2:39]1
JKBYBPNRTMHEGS-UHFFFAOYSA-N	Cc1cc(Br)ccc1Oc1ccc2c(c1)ncn2C>>Cc1cc(N)ccc1Oc1ccc2c(c1)ncn2C	6	Br[c:4]1[cH:3][c:2]([CH3:1])[c:8]([O:9][c:10]2[cH:11][cH:12][c:13]3[c:14]([n:5][cH:17][n:18]3[CH3:19])[cH:15]2)[cH:7][cH:6]1>>[CH3:1][c:2]1[cH:3][c:4]([NH2:5])[cH:6][cH:7][c:8]1[O:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[n:16][cH:17][n:18]2[CH3:19]
JKBYBPNRTMHEGS-UHFFFAOYSA-N	CSc1ncc2ncnc(Cl)c2n1>>CS(=O)(=O)c1ncc2ncnc(Cl)c2n1	6	[CH3:1][S:2][c:5]1[n:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([Cl:13])[c:14]2[n:15]1>>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[n:6][cH:7][c:8]2[n:9][cH:10][n:11][c:12]([Cl:13])[c:14]2[n:15]1
