tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21	4	[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[NH:6][c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21.Cl[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	4	C[O:21][C:19]([c:18]1[cH:17][c:16]2[c:24]([cH:23][cH:22]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[OH:21])[cH:22][cH:23][c:24]21
OEBVYNULNKSONR-UHFFFAOYSA-N	O=C=O>>[C]=O	4	O=[C:1]=[O:2]>>[C:1]=[O:2]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	5	O[C:19]([c:18]1[cH:17][c:16]2[c:34]([cH:33][cH:32]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20].[NH2:21][CH2:22][c:23]1[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]1[F:31]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[NH:21][CH2:22][c:23]3[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]3[F:31])[cH:32][cH:33][c:34]21
OEBVYNULNKSONR-UHFFFAOYSA-N	O=CO>>[C]=O	5	O=[CH:1][OH:2]>>[C:1]=[O:2]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21.CO.[C]=O>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	5	Br[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21	5	[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[NH:6][c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21.Cl[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	5	C[O:21][C:19]([c:18]1[cH:17][c:16]2[c:24]([cH:23][cH:22]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[OH:21])[cH:22][cH:23][c:24]21
OEBVYNULNKSONR-UHFFFAOYSA-N	CO>>[C]=O	6	[CH3:1][OH:2]>>[C:1]=[O:2]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	6	O[C:19]([c:18]1[cH:17][c:16]2[c:34]([cH:33][cH:32]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20].[NH2:21][CH2:22][c:23]1[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]1[F:31]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[NH:21][CH2:22][c:23]3[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]3[F:31])[cH:32][cH:33][c:34]21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21.CO.[C]=O>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	6	Br[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21	6	[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[NH:6][c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21.Cl[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	6	C[O:21][C:19]([c:18]1[cH:17][c:16]2[c:24]([cH:23][cH:22]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[OH:21])[cH:22][cH:23][c:24]21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	7	O[C:19]([c:18]1[cH:17][c:16]2[c:34]([cH:33][cH:32]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20].[NH2:21][CH2:22][c:23]1[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]1[F:31]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[NH:21][CH2:22][c:23]3[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]3[F:31])[cH:32][cH:33][c:34]21
OEBVYNULNKSONR-UHFFFAOYSA-N	O=C([O-])[O-]>>[C]=O	7	O=[C:1]([O-])[O-:2]>>[C:1]=[O:2]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21.CO.[C]=O>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	7	Br[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21	7	[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[NH:6][c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21.Cl[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	7	C[O:21][C:19]([c:18]1[cH:17][c:16]2[c:24]([cH:23][cH:22]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[OH:21])[cH:22][cH:23][c:24]21
OEBVYNULNKSONR-UHFFFAOYSA-N	C>>[C]=O	8	[CH4:1]>>[C:1]=[O:2]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	8	O[C:19]([c:18]1[cH:17][c:16]2[c:34]([cH:33][cH:32]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20].[NH2:21][CH2:22][c:23]1[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]1[F:31]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[NH:21][CH2:22][c:23]3[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]3[F:31])[cH:32][cH:33][c:34]21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21.CO.[C]=O>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	8	Br[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21	8	[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[NH:6][c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21.Cl[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21
OEBVYNULNKSONR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21	8	C[O:21][C:19]([c:18]1[cH:17][c:16]2[c:24]([cH:23][cH:22]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[OH:21])[cH:22][cH:23][c:24]21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)O)ccc21.NCc1c(F)cc(F)cc1F>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(C(=O)NCc3c(F)cc(F)cc3F)ccc21	9	O[C:19]([c:18]1[cH:17][c:16]2[c:34]([cH:33][cH:32]1)[C:2]([CH3:1])([CH3:3])[C:4](=[O:5])[N:6]2[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15])=[O:20].[NH2:21][CH2:22][c:23]1[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]1[F:31]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[NH:21][CH2:22][c:23]3[c:24]([F:25])[cH:26][c:27]([F:28])[cH:29][c:30]3[F:31])[cH:32][cH:33][c:34]21
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21.CO.[C]=O>>COC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)C2(C)C	9	Br[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[N:11]([CH2:12][c:13]1[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]1[Cl:20])[C:21](=[O:22])[C:23]2([CH3:24])[CH3:25]
OEBVYNULNKSONR-UHFFFAOYSA-N	C=O>>[C]=O	9	[CH2:1]=[O:2]>>[C:1]=[O:2]
OEBVYNULNKSONR-UHFFFAOYSA-N	CC1(C)C(=O)Nc2cc(Br)ccc21.Fc1cccc(Cl)c1CCl>>CC1(C)C(=O)N(Cc2c(F)cccc2Cl)c2cc(Br)ccc21	9	[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[NH:6][c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21.Cl[CH2:7][c:8]1[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]1[Cl:15]>>[CH3:1][C:2]1([CH3:3])[C:4](=[O:5])[N:6]([CH2:7][c:8]2[c:9]([F:10])[cH:11][cH:12][cH:13][c:14]2[Cl:15])[c:16]2[cH:17][c:18]([Br:19])[cH:20][cH:21][c:22]21
