tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12>>O=C1OC2(CCNC2)c2ccccc21	3	CC(C)(C)OC(=O)[N:7]1[CH2:6][CH2:5][C:4]2([O:3][C:2](=[O:1])[c:14]3[c:9]2[cH:10][cH:11][cH:12][cH:13]3)[CH2:8]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:8]2)[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.O=C1OC2(CCN(C(=O)C3(c4ccc(Br)cc4)CC3)C2)c2ccccc21>>O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21	3	CC1(C)OB([B:15]2[O:16]C(C)(C)C(C)(C)[O:17]2)OC1(C)C.Br[c:14]1[cH:13][cH:12][c:11]([C:10]2([C:8]([N:7]3[CH2:6][CH2:5][C:4]4([O:3][C:2](=[O:1])[c:28]5[c:23]4[cH:24][cH:25][cH:26][cH:27]5)[CH2:22]3)=[O:9])[CH2:20][CH2:21]2)[cH:19][cH:18]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([C:8](=[O:9])[C:10]3([c:11]4[cH:12][cH:13][c:14]([B:15]([OH:16])[OH:17])[cH:18][cH:19]4)[CH2:20][CH2:21]3)[CH2:22]2)[c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	O=C(O)C1(c2ccc(Br)cc2)CC1.O=C1OC2(CCNC2)c2ccccc21>>O=C1OC2(CCN(C(=O)C3(c4ccc(Br)cc4)CC3)C2)c2ccccc21	3	O[C:8](=[O:9])[C:10]1([c:11]2[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]2)[CH2:18][CH2:19]1.[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:20]2)[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]21>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([C:8](=[O:9])[C:10]3([c:11]4[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]4)[CH2:18][CH2:19]3)[CH2:20]2)[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(=O)C1.O=C(O)c1ccccc1Br>>CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12	3	O=[C:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:12]1.Br[c:21]1[c:16]([C:14]([OH:13])=[O:15])[cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C:11]2([CH2:12]1)[O:13][C:14](=[O:15])[c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]12
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CNC(=O)c1ccc(Br)cn1.O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21>>CNC(=O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1	3	Br[c:8]1[cH:7][cH:6][c:5]([C:3]([NH:2][CH3:1])=[O:4])[n:35][cH:34]1.OB(O)[c:9]1[cH:10][cH:11][c:12]([C:13]2([C:14](=[O:15])[N:16]3[CH2:17][CH2:18][C:19]4([CH2:20]3)[O:21][C:22](=[O:23])[c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]34)[CH2:30][CH2:31]2)[cH:32][cH:33]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([C:13]3([C:14](=[O:15])[N:16]4[CH2:17][CH2:18][C:19]5([CH2:20]4)[O:21][C:22](=[O:23])[c:24]4[cH:25][cH:26][cH:27][cH:28][c:29]45)[CH2:30][CH2:31]3)[cH:32][cH:33]2)[cH:34][n:35]1
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12>>O=C1OC2(CCNC2)c2ccccc21	4	CC(C)(C)OC(=O)[N:7]1[CH2:6][CH2:5][C:4]2([O:3][C:2](=[O:1])[c:14]3[c:9]2[cH:10][cH:11][cH:12][cH:13]3)[CH2:8]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:8]2)[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.O=C1OC2(CCN(C(=O)C3(c4ccc(Br)cc4)CC3)C2)c2ccccc21>>O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21	4	CC1(C)OB([B:15]2[O:16]C(C)(C)C(C)(C)[O:17]2)OC1(C)C.Br[c:14]1[cH:13][cH:12][c:11]([C:10]2([C:8]([N:7]3[CH2:6][CH2:5][C:4]4([O:3][C:2](=[O:1])[c:28]5[c:23]4[cH:24][cH:25][cH:26][cH:27]5)[CH2:22]3)=[O:9])[CH2:20][CH2:21]2)[cH:19][cH:18]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([C:8](=[O:9])[C:10]3([c:11]4[cH:12][cH:13][c:14]([B:15]([OH:16])[OH:17])[cH:18][cH:19]4)[CH2:20][CH2:21]3)[CH2:22]2)[c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(=O)C1.O=C(O)c1ccccc1Br>>CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12	4	O=[C:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:12]1.Br[c:21]1[c:16]([C:14]([OH:13])=[O:15])[cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C:11]2([CH2:12]1)[O:13][C:14](=[O:15])[c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]12
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CNC(=O)c1ccc(Br)cn1.O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21>>CNC(=O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1	4	Br[c:8]1[cH:7][cH:6][c:5]([C:3]([NH:2][CH3:1])=[O:4])[n:35][cH:34]1.OB(O)[c:9]1[cH:10][cH:11][c:12]([C:13]2([C:14](=[O:15])[N:16]3[CH2:17][CH2:18][C:19]4([CH2:20]3)[O:21][C:22](=[O:23])[c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]34)[CH2:30][CH2:31]2)[cH:32][cH:33]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([C:13]3([C:14](=[O:15])[N:16]4[CH2:17][CH2:18][C:19]5([CH2:20]4)[O:21][C:22](=[O:23])[c:24]4[cH:25][cH:26][cH:27][cH:28][c:29]45)[CH2:30][CH2:31]3)[cH:32][cH:33]2)[cH:34][n:35]1
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CCOC(=O)C1(c2ccc(Br)cc2)CC1.O=C1OC2(CCNC2)c2ccccc21>>O=C1OC2(CCN(C(=O)C3(c4ccc(Br)cc4)CC3)C2)c2ccccc21	4	CCO[C:8](=[O:9])[C:10]1([c:11]2[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]2)[CH2:18][CH2:19]1.[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:20]2)[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]21>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([C:8](=[O:9])[C:10]3([c:11]4[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]4)[CH2:18][CH2:19]3)[CH2:20]2)[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12>>O=C1OC2(CCNC2)c2ccccc21	5	CC(C)(C)OC(=O)[N:7]1[CH2:6][CH2:5][C:4]2([O:3][C:2](=[O:1])[c:14]3[c:9]2[cH:10][cH:11][cH:12][cH:13]3)[CH2:8]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:8]2)[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(=O)C1.O=C(O)c1ccccc1Br>>CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12	5	O=[C:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:12]1.Br[c:21]1[c:16]([C:14]([OH:13])=[O:15])[cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C:11]2([CH2:12]1)[O:13][C:14](=[O:15])[c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]12
BDQCDIWFPIDPQU-UHFFFAOYSA-N	O=C(O)C1(c2ccc(B(O)O)cc2)CC1.O=C1OC2(CCNC2)c2ccccc21>>O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21	5	O[C:8](=[O:9])[C:10]1([c:11]2[cH:12][cH:13][c:14]([B:15]([OH:16])[OH:17])[cH:18][cH:19]2)[CH2:20][CH2:21]1.[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:22]2)[c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]21>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([C:8](=[O:9])[C:10]3([c:11]4[cH:12][cH:13][c:14]([B:15]([OH:16])[OH:17])[cH:18][cH:19]4)[CH2:20][CH2:21]3)[CH2:22]2)[c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CNC(=O)c1ccc(Br)cn1.O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21>>CNC(=O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1	5	Br[c:8]1[cH:7][cH:6][c:5]([C:3]([NH:2][CH3:1])=[O:4])[n:35][cH:34]1.OB(O)[c:9]1[cH:10][cH:11][c:12]([C:13]2([C:14](=[O:15])[N:16]3[CH2:17][CH2:18][C:19]4([CH2:20]3)[O:21][C:22](=[O:23])[c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]34)[CH2:30][CH2:31]2)[cH:32][cH:33]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([C:13]3([C:14](=[O:15])[N:16]4[CH2:17][CH2:18][C:19]5([CH2:20]4)[O:21][C:22](=[O:23])[c:24]4[cH:25][cH:26][cH:27][cH:28][c:29]45)[CH2:30][CH2:31]3)[cH:32][cH:33]2)[cH:34][n:35]1
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CN.O=C(O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1>>CNC(=O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1	6	[CH3:1][NH2:2].O[C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([C:13]3([C:14](=[O:15])[N:16]4[CH2:17][CH2:18][C:19]5([CH2:20]4)[O:21][C:22](=[O:23])[c:24]4[cH:25][cH:26][cH:27][cH:28][c:29]45)[CH2:30][CH2:31]3)[cH:32][cH:33]2)[cH:34][n:35]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([C:13]3([C:14](=[O:15])[N:16]4[CH2:17][CH2:18][C:19]5([CH2:20]4)[O:21][C:22](=[O:23])[c:24]4[cH:25][cH:26][cH:27][cH:28][c:29]45)[CH2:30][CH2:31]3)[cH:32][cH:33]2)[cH:34][n:35]1
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12>>O=C1OC2(CCNC2)c2ccccc21	6	CC(C)(C)OC(=O)[N:7]1[CH2:6][CH2:5][C:4]2([O:3][C:2](=[O:1])[c:14]3[c:9]2[cH:10][cH:11][cH:12][cH:13]3)[CH2:8]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:8]2)[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(=O)C1.O=C(O)c1ccccc1Br>>CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)c1ccccc12	6	O=[C:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:12]1.Br[c:21]1[c:16]([C:14]([OH:13])=[O:15])[cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C:11]2([CH2:12]1)[O:13][C:14](=[O:15])[c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]12
BDQCDIWFPIDPQU-UHFFFAOYSA-N	O=C(O)C1(c2ccc(B(O)O)cc2)CC1.O=C1OC2(CCNC2)c2ccccc21>>O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21	6	O[C:8](=[O:9])[C:10]1([c:11]2[cH:12][cH:13][c:14]([B:15]([OH:16])[OH:17])[cH:18][cH:19]2)[CH2:20][CH2:21]1.[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:22]2)[c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]21>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([C:8](=[O:9])[C:10]3([c:11]4[cH:12][cH:13][c:14]([B:15]([OH:16])[OH:17])[cH:18][cH:19]4)[CH2:20][CH2:21]3)[CH2:22]2)[c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	O=C(O)c1ccc(Br)cn1.O=C1OC2(CCN(C(=O)C3(c4ccc(B(O)O)cc4)CC3)C2)c2ccccc21>>O=C(O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1	6	Br[c:7]1[cH:6][cH:5][c:4]([C:2](=[O:1])[OH:3])[n:34][cH:33]1.OB(O)[c:8]1[cH:9][cH:10][c:11]([C:12]2([C:13](=[O:14])[N:15]3[CH2:16][CH2:17][C:18]4([CH2:19]3)[O:20][C:21](=[O:22])[c:23]3[cH:24][cH:25][cH:26][cH:27][c:28]34)[CH2:29][CH2:30]2)[cH:31][cH:32]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7](-[c:8]2[cH:9][cH:10][c:11]([C:12]3([C:13](=[O:14])[N:15]4[CH2:16][CH2:17][C:18]5([CH2:19]4)[O:20][C:21](=[O:22])[c:23]4[cH:24][cH:25][cH:26][cH:27][c:28]45)[CH2:29][CH2:30]3)[cH:31][cH:32]2)[cH:33][n:34]1
BDQCDIWFPIDPQU-UHFFFAOYSA-N	O=C(O)c1ccccc1Br.O=C1CCN(Cc2ccccc2)C1>>O=C1OC2(CCN(Cc3ccccc3)C2)c2ccccc21	7	Br[c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]1[C:2](=[O:1])[OH:3].O=[C:4]1[CH2:5][CH2:6][N:7]([CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([CH2:8][c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[CH2:15]2)[c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	O=C(Cl)OCc1ccccc1.O=C1OC2(CCN(Cc3ccccc3)C2)c2ccccc21>>O=C1OC2(CCN(C(=O)OCc3ccccc3)C2)c2ccccc21	7	Cl[C:8](=[O:9])[O:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1.c1ccc(C[N:7]2[CH2:6][CH2:5][C:4]3([O:3][C:2](=[O:1])[c:24]4[c:19]3[cH:20][cH:21][cH:22][cH:23]4)[CH2:18]2)cc1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][N:7]([C:8](=[O:9])[O:10][CH2:11][c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[CH2:18]2)[c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]21
BDQCDIWFPIDPQU-UHFFFAOYSA-N	O=C1OC2(CCN(C(=O)OCc3ccccc3)C2)c2ccccc21>>O=C1OC2(CCNC2)c2ccccc21	7	O=C(OCc1ccccc1)[N:7]1[CH2:6][CH2:5][C:4]2([O:3][C:2](=[O:1])[c:14]3[c:9]2[cH:10][cH:11][cH:12][cH:13]3)[CH2:8]1>>[O:1]=[C:2]1[O:3][C:4]2([CH2:5][CH2:6][NH:7][CH2:8]2)[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]21
