tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	7	COc1ccc(C[NH:5][c:4]2[n:3][n:2]([CH3:1])[c:7]([N:8]3[CH2:9][CH:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][cH:16]4)[CH2:17]3)[n:6]2)c(OC)c1>>[CH3:1][n:2]1[n:3][c:4]([NH2:5])[n:6][c:7]1[N:8]1[CH2:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	CI.Clc1n[nH]c(N2CC(c3ccccc3)C2)n1>>Cn1nc(Cl)nc1N1CC(c2ccccc2)C1	7	I[CH3:1].[nH:2]1[n:3][c:4]([Cl:5])[n:6][c:7]1[N:8]1[CH2:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1>>[CH3:1][n:2]1[n:3][c:4]([Cl:5])[n:6][c:7]1[N:8]1[CH2:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	7	Br[c:5]1[cH:4][c:3]([O:2][CH3:1])[c:25](-[n:26]2[cH:27][n:28][c:29]([CH3:30])[cH:31]2)[cH:24][cH:23]1.[NH2:6][c:7]1[n:8][c:9]([N:10]2[CH2:11][CH:12]([c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[CH2:19]2)[n:20]([CH3:21])[n:22]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[n:8][c:9]([N:10]3[CH2:11][CH:12]([c:13]4[cH:14][cH:15][cH:16][cH:17][cH:18]4)[CH2:19]3)[n:20]([CH3:21])[n:22]2)[cH:23][cH:24][c:25]1-[n:26]1[cH:27][n:28][c:29]([CH3:30])[cH:31]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	Clc1n[nH]c(Br)n1.c1ccc(C2CNC2)cc1>>Clc1n[nH]c(N2CC(c3ccccc3)C2)n1	7	Br[c:5]1[nH:4][n:3][c:2]([Cl:1])[n:16]1.[NH:6]1[CH2:7][CH:8]([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15]1>>[Cl:1][c:2]1[n:3][nH:4][c:5]([N:6]2[CH2:7][CH:8]([c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[CH2:15]2)[n:16]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CO)c(OC)c1.Cn1nc(N)nc1Cl>>COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1	8	O[CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:19][c:16]1[O:17][CH3:18].[NH2:8][c:9]1[n:10][c:11]([Cl:12])[n:13]([CH3:14])[n:15]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[n:10][c:11]([Cl:12])[n:13]([CH3:14])[n:15]2)[c:16]([O:17][CH3:18])[cH:19]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	8	Br[c:5]1[cH:4][c:3]([O:2][CH3:1])[c:25](-[n:26]2[cH:27][n:28][c:29]([CH3:30])[cH:31]2)[cH:24][cH:23]1.[NH2:6][c:7]1[n:8][c:9]([N:10]2[CH2:11][CH:12]([c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[CH2:19]2)[n:20]([CH3:21])[n:22]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[n:8][c:9]([N:10]3[CH2:11][CH:12]([c:13]4[cH:14][cH:15][cH:16][cH:17][cH:18]4)[CH2:19]3)[n:20]([CH3:21])[n:22]2)[cH:23][cH:24][c:25]1-[n:26]1[cH:27][n:28][c:29]([CH3:30])[cH:31]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	8	COc1ccc(C[NH:5][c:4]2[n:3][n:2]([CH3:1])[c:7]([N:8]3[CH2:9][CH:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][cH:16]4)[CH2:17]3)[n:6]2)c(OC)c1>>[CH3:1][n:2]1[n:3][c:4]([NH2:5])[n:6][c:7]1[N:8]1[CH2:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	Cn1nc(Cl)nc1Cl>>Cn1nc(N)nc1Cl	8	Cl[c:4]1[n:3][n:2]([CH3:1])[c:7]([Cl:8])[n:5]1>>[CH3:1][n:2]1[n:3][c:4]([NH2:5])[n:6][c:7]1[Cl:8]
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1.c1ccc(C2CNC2)cc1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	8	Cl[c:11]1[n:10][c:9]([NH:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:28][c:25]2[O:26][CH3:27])[n:24][n:22]1[CH3:23].[NH:12]1[CH2:13][CH:14]([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[CH2:21]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[n:10][c:11]([N:12]3[CH2:13][CH:14]([c:15]4[cH:16][cH:17][cH:18][cH:19][cH:20]4)[CH2:21]3)[n:22]([CH3:23])[n:24]2)[c:25]([O:26][CH3:27])[cH:28]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	9	COc1ccc(C[NH:5][c:4]2[n:3][n:2]([CH3:1])[c:7]([N:8]3[CH2:9][CH:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][cH:16]4)[CH2:17]3)[n:6]2)c(OC)c1>>[CH3:1][n:2]1[n:3][c:4]([NH2:5])[n:6][c:7]1[N:8]1[CH2:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	9	Br[c:5]1[cH:4][c:3]([O:2][CH3:1])[c:25](-[n:26]2[cH:27][n:28][c:29]([CH3:30])[cH:31]2)[cH:24][cH:23]1.[NH2:6][c:7]1[n:8][c:9]([N:10]2[CH2:11][CH:12]([c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[CH2:19]2)[n:20]([CH3:21])[n:22]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[n:8][c:9]([N:10]3[CH2:11][CH:12]([c:13]4[cH:14][cH:15][cH:16][cH:17][cH:18]4)[CH2:19]3)[n:20]([CH3:21])[n:22]2)[cH:23][cH:24][c:25]1-[n:26]1[cH:27][n:28][c:29]([CH3:30])[cH:31]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	Cn1nc(Cl)nc1Cl>>Cn1nc(N)nc1Cl	9	Cl[c:4]1[n:3][n:2]([CH3:1])[c:7]([Cl:8])[n:5]1>>[CH3:1][n:2]1[n:3][c:4]([NH2:5])[n:6][c:7]1[Cl:8]
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1.c1ccc(C2CNC2)cc1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	9	Cl[c:11]1[n:10][c:9]([NH:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:28][c:25]2[O:26][CH3:27])[n:24][n:22]1[CH3:23].[NH:12]1[CH2:13][CH:14]([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[CH2:21]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[n:10][c:11]([N:12]3[CH2:13][CH:14]([c:15]4[cH:16][cH:17][cH:18][cH:19][cH:20]4)[CH2:21]3)[n:22]([CH3:23])[n:24]2)[c:25]([O:26][CH3:27])[cH:28]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(C=O)c(OC)c1.Cn1nc(N)nc1Cl>>COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1	9	O=[CH:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:19][c:16]1[O:17][CH3:18].[NH2:8][c:9]1[n:10][c:11]([Cl:12])[n:13]([CH3:14])[n:15]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[n:10][c:11]([Cl:12])[n:13]([CH3:14])[n:15]2)[c:16]([O:17][CH3:18])[cH:19]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1>>Cn1nc(N)nc1N1CC(c2ccccc2)C1	10	COc1ccc(C[NH:5][c:4]2[n:3][n:2]([CH3:1])[c:7]([N:8]3[CH2:9][CH:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][cH:16]4)[CH2:17]3)[n:6]2)c(OC)c1>>[CH3:1][n:2]1[n:3][c:4]([NH2:5])[n:6][c:7]1[N:8]1[CH2:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CN)c(OC)c1.Cn1nc(Br)nc1Cl>>COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1	10	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH2:8])[c:16]([O:17][CH3:18])[cH:19]1.Br[c:9]1[n:10][c:11]([Cl:12])[n:13]([CH3:14])[n:15]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[n:10][c:11]([Cl:12])[n:13]([CH3:14])[n:15]2)[c:16]([O:17][CH3:18])[cH:19]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1cc(Br)ccc1-n1cnc(C)c1.Cn1nc(N)nc1N1CC(c2ccccc2)C1>>COc1cc(Nc2nc(N3CC(c4ccccc4)C3)n(C)n2)ccc1-n1cnc(C)c1	10	Br[c:5]1[cH:4][c:3]([O:2][CH3:1])[c:25](-[n:26]2[cH:27][n:28][c:29]([CH3:30])[cH:31]2)[cH:24][cH:23]1.[NH2:6][c:7]1[n:8][c:9]([N:10]2[CH2:11][CH:12]([c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[CH2:19]2)[n:20]([CH3:21])[n:22]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[n:8][c:9]([N:10]3[CH2:11][CH:12]([c:13]4[cH:14][cH:15][cH:16][cH:17][cH:18]4)[CH2:19]3)[n:20]([CH3:21])[n:22]2)[cH:23][cH:24][c:25]1-[n:26]1[cH:27][n:28][c:29]([CH3:30])[cH:31]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	COc1ccc(CNc2nc(Cl)n(C)n2)c(OC)c1.c1ccc(C2CNC2)cc1>>COc1ccc(CNc2nc(N3CC(c4ccccc4)C3)n(C)n2)c(OC)c1	10	Cl[c:11]1[n:10][c:9]([NH:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:28][c:25]2[O:26][CH3:27])[n:24][n:22]1[CH3:23].[NH:12]1[CH2:13][CH:14]([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[CH2:21]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[n:10][c:11]([N:12]3[CH2:13][CH:14]([c:15]4[cH:16][cH:17][cH:18][cH:19][cH:20]4)[CH2:21]3)[n:22]([CH3:23])[n:24]2)[c:25]([O:26][CH3:27])[cH:28]1
OEUYHQOSMXZHIV-UHFFFAOYSA-N	CI.Clc1nc(Br)n[nH]1>>Cn1nc(Br)nc1Cl	10	I[CH3:1].[nH:2]1[n:3][c:4]([Br:5])[n:6][c:7]1[Cl:8]>>[CH3:1][n:2]1[n:3][c:4]([Br:5])[n:6][c:7]1[Cl:8]
