tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(Br)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	5	[OH:10][c:11]1[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]1.Br[c:9]1[c:7]([F:8])[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:23]([F:24])[cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([F:8])[c:9]([O:10][c:11]2[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]2)[cH:22][c:23]1[F:24]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl	5	[CH3:1][CH:2]([CH3:3])[O-:4].Br[c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	6	C[O:17][C:15]([c:14]1[c:12]([F:13])[cH:11][c:10]([O:9][c:8]2[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:22]([Cl:23])[cH:21]2)[c:19]([F:20])[cH:18]1)=[O:16]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([O:9][c:10]2[cH:11][c:12]([F:13])[c:14]([C:15](=[O:16])[OH:17])[cH:18][c:19]2[F:20])[cH:21][c:22]1[Cl:23]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)[O-].Oc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(O)cc1Cl	6	[CH3:1][CH:2]([CH3:3])[O-:4].Br[c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(F)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	6	[OH:10][c:11]1[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]1.F[c:9]1[c:7]([F:8])[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:23]([F:24])[cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([F:8])[c:9]([O:10][c:11]2[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]2)[cH:22][c:23]1[F:24]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	7	C[O:17][C:15]([c:14]1[c:12]([F:13])[cH:11][c:10]([O:9][c:8]2[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:22]([Cl:23])[cH:21]2)[c:19]([F:20])[cH:18]1)=[O:16]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([O:9][c:10]2[cH:11][c:12]([F:13])[c:14]([C:15](=[O:16])[OH:17])[cH:18][c:19]2[F:20])[cH:21][c:22]1[Cl:23]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	7	Br[c:8]1[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:11]([Cl:12])[cH:10]1>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(I)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	7	[OH:10][c:11]1[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]1.I[c:9]1[c:7]([F:8])[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:23]([F:24])[cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([F:8])[c:9]([O:10][c:11]2[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]2)[cH:22][c:23]1[F:24]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	8	C[O:17][C:15]([c:14]1[c:12]([F:13])[cH:11][c:10]([O:9][c:8]2[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:22]([Cl:23])[cH:21]2)[c:19]([F:20])[cH:18]1)=[O:16]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([O:9][c:10]2[cH:11][c:12]([F:13])[c:14]([C:15](=[O:16])[OH:17])[cH:18][c:19]2[F:20])[cH:21][c:22]1[Cl:23]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(Br)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	8	[OH:10][c:11]1[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]1.Br[c:9]1[c:7]([F:8])[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:23]([F:24])[cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([F:8])[c:9]([O:10][c:11]2[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]2)[cH:22][c:23]1[F:24]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	8	Br[c:8]1[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:11]([Cl:12])[cH:10]1>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	9	C[O:17][C:15]([c:14]1[c:12]([F:13])[cH:11][c:10]([O:9][c:8]2[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:22]([Cl:23])[cH:21]2)[c:19]([F:20])[cH:18]1)=[O:16]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([O:9][c:10]2[cH:11][c:12]([F:13])[c:14]([C:15](=[O:16])[OH:17])[cH:18][c:19]2[F:20])[cH:21][c:22]1[Cl:23]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(F)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	9	[OH:10][c:11]1[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]1.F[c:9]1[c:7]([F:8])[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:23]([F:24])[cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([F:8])[c:9]([O:10][c:11]2[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]2)[cH:22][c:23]1[F:24]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Br)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	9	Br[c:8]1[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:11]([Cl:12])[cH:10]1>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(N)cc1Cl>>CC(C)Oc1ncc(O)cc1Cl	10	N[c:8]1[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:11]([Cl:12])[cH:10]1>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([OH:9])[cH:10][c:11]1[Cl:12]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F>>CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl	10	C[O:17][C:15]([c:14]1[c:12]([F:13])[cH:11][c:10]([O:9][c:8]2[cH:7][n:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:22]([Cl:23])[cH:21]2)[c:19]([F:20])[cH:18]1)=[O:16]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([O:9][c:10]2[cH:11][c:12]([F:13])[c:14]([C:15](=[O:16])[OH:17])[cH:18][c:19]2[F:20])[cH:21][c:22]1[Cl:23]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)O.Nc1cnc(Br)c(Cl)c1>>CC(C)Oc1ncc(N)cc1Cl	10	[CH3:1][CH:2]([CH3:3])[OH:4].Br[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[Cl:12]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[Cl:12]
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(O)cc1Cl.COC(=O)c1cc(F)c(I)cc1F>>COC(=O)c1cc(F)c(Oc2cnc(OC(C)C)c(Cl)c2)cc1F	10	[OH:10][c:11]1[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]1.I[c:9]1[c:7]([F:8])[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:23]([F:24])[cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([F:8])[c:9]([O:10][c:11]2[cH:12][n:13][c:14]([O:15][CH:16]([CH3:17])[CH3:18])[c:19]([Cl:20])[cH:21]2)[cH:22][c:23]1[F:24]
