tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1	3	[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([CH2:15][NH2:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1.COC(=O)c1scnc1Cl>>COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1	3	[NH2:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1.Cl[c:9]1[c:5]([C:3]([O:2][CH3:1])=[O:4])[s:6][cH:7][n:8]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][cH:7][n:8][c:9]1[NH:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNC(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1	3	CC(C)(C)OC(=O)O[C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9].[CH3:1][NH:2][C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1>>CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	3	CC(C)(C)OC(=O)[N:2]([CH3:1])[C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CNC=O.N#Cc1cc[n+]([O-])cc1>>CNC(=O)c1cc(C#N)ccn1	3	[CH3:1][NH:2][CH:3]=[O:4].[O-][n+:12]1[cH:5][cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11][n:12]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1	4	[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([CH2:15][NH2:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1.COC(=O)c1scnc1Cl>>COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1	4	[NH2:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1.Cl[c:9]1[c:5]([C:3]([O:2][CH3:1])=[O:4])[s:6][cH:7][n:8]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][cH:7][n:8][c:9]1[NH:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNC(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1	4	CC(C)(C)OC(=O)O[C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9].[CH3:1][NH:2][C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CNC(=O)c1cc(Br)ccn1.N#C[Zn]C#N>>CNC(=O)c1cc(C#N)ccn1	4	Br[c:7]1[cH:6][c:5]([C:3]([NH:2][CH3:1])=[O:4])[n:12][cH:11][cH:10]1.N#C[Zn][C:8]#[N:9]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11][n:12]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1>>CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	4	CC(C)(C)OC(=O)[N:2]([CH3:1])[C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1	5	[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([CH2:15][NH2:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1.COC(=O)c1scnc1Cl>>COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1	5	[NH2:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1.Cl[c:9]1[c:5]([C:3]([O:2][CH3:1])=[O:4])[s:6][cH:7][n:8]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][cH:7][n:8][c:9]1[NH:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNC(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1	5	CC(C)(C)OC(=O)O[C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9].[CH3:1][NH:2][C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1>>CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	5	CC(C)(C)OC(=O)[N:2]([CH3:1])[C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CCOC(=O)c1cc(C#N)ccn1.CN>>CNC(=O)c1cc(C#N)ccn1	5	CCO[C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11][n:12]1.[CH3:1][NH2:2]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11][n:12]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1	6	[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([CH2:15][NH2:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1.COC(=O)c1scnc1Cl>>COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1	6	[NH2:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1.Cl[c:9]1[c:5]([C:3]([O:2][CH3:1])=[O:4])[s:6][cH:7][n:8]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][cH:7][n:8][c:9]1[NH:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNC(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1	6	CC(C)(C)OC(=O)O[C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9].[CH3:1][NH:2][C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1>>CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	6	CC(C)(C)OC(=O)[N:2]([CH3:1])[C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	N#Cc1ccnc(C(=O)O)c1>>CNC(=O)c1cc(C#N)ccn1	6	O[C:3](=[O:4])[c:5]1[n:2][cH:1][cH:10][c:7]([C:8]#[N:9])[cH:6]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11][n:12]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1	7	[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([CH2:15][NH2:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN(C(=O)OC(C)(C)C)C(=O)c1cc(CN)ccn1.COC(=O)c1scnc1Cl>>COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1	7	[NH2:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1.Cl[c:9]1[c:5]([C:3]([O:2][CH3:1])=[O:4])[s:6][cH:7][n:8]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][cH:7][n:8][c:9]1[NH:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[N:19]([CH3:20])[C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[cH:28]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNC(=O)c1cc(C#N)ccn1>>CN(C(=O)OC(C)(C)C)C(=O)c1cc(C#N)ccn1	7	CC(C)(C)OC(=O)O[C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9].[CH3:1][NH:2][C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10](=[O:11])[c:12]1[cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18][n:19]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CNC=O.N#Cc1ccncc1>>CNC(=O)c1cc(C#N)ccn1	7	[CH3:1][NH:2][CH:3]=[O:4].[cH:5]1[cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11][n:12]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]#[N:9])[cH:10][cH:11][n:12]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1scnc1NCc1ccnc(C(=O)N(C)C(=O)OC(C)(C)C)c1>>CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	7	CC(C)(C)OC(=O)[N:2]([CH3:1])[C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN.COC(=O)c1scnc1NCc1ccnc(C(=O)O)c1>>CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	8	[CH3:1][NH2:2].O[C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	C[Si](C)(C)C=[N+]=[N-].NCc1ccnc(C(=O)O)c1>>COC(=O)c1cc(CN)ccn1	8	C[Si](C)(C)[CH:1]=[N+]=[N-].[OH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH2:9])[cH:10][cH:11][n:12]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH2:9])[cH:10][cH:11][n:12]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1>>COC(=O)c1scnc1NCc1ccnc(C(=O)O)c1	8	C[O:19][C:17]([c:16]1[n:15][cH:14][cH:13][c:12]([CH2:11][NH:10][c:9]2[c:5]([C:3]([O:2][CH3:1])=[O:4])[s:6][cH:7][n:8]2)[cH:20]1)=[O:18]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][cH:7][n:8][c:9]1[NH:10][CH2:11][c:12]1[cH:13][cH:14][n:15][c:16]([C:17](=[O:18])[OH:19])[cH:20]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1cc(CN)ccn1.COC(=O)c1scnc1Cl>>COC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	8	[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH2:9])[cH:19][cH:20][n:21]1.Cl[c:10]1[n:11][cH:12][s:13][c:14]1[C:15](=[O:16])[O:17][CH3:18]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccnc(C(=O)O)c1>>NCc1ccnc(C(=O)O)c1	8	CC(C)(C)OC(=O)[NH:1][CH2:2][c:3]1[cH:4][cH:5][n:6][c:7]([C:8](=[O:9])[OH:10])[cH:11]1>>[NH2:1][CH2:2][c:3]1[cH:4][cH:5][n:6][c:7]([C:8](=[O:9])[OH:10])[cH:11]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CN.COC(=O)c1scnc1NCc1ccnc(C(=O)O)c1>>CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	9	[CH3:1][NH2:2].O[C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
HELKVQOFPUCVAJ-UHFFFAOYSA-N	COC(=O)c1cc(CN)ccn1.COC(=O)c1scnc1Cl>>COC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1	9	[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH2:9])[cH:19][cH:20][n:21]1.Cl[c:10]1[n:11][cH:12][s:13][c:14]1[C:15](=[O:16])[O:17][CH3:18]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH2:8][NH:9][c:10]2[n:11][cH:12][s:13][c:14]2[C:15](=[O:16])[O:17][CH3:18])[cH:19][cH:20][n:21]1
