tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C	4	[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH2:7])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30].O=[N+]([O-])c1ccc(O[C:8](=[O:9])[NH:10][c:11]2[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]2[CH3:22])cc1>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH:7][C:8](=[O:9])[NH:10][c:11]1[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]1[CH3:22])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	4	CC(C)(C)OC(=O)[NH:19][C@@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[C:20](=[O:21])[OH:22]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH2:19])[C:20](=[O:21])[OH:22]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	5	C[O:29][C:27]([C@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])=[O:28]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[C:27](=[O:28])[OH:29]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(Cl)Oc1ccccc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccccc1	5	[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH2:13].Cl[C:14](=[O:15])[O:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[O:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	5	CC(C)(C)OC(=O)[NH:19][C@@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[C:20](=[O:21])[OH:22]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH2:19])[C:20](=[O:21])[OH:22]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccccc1>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C	5	[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH2:7])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30].c1ccc(O[C:8](=[O:9])[NH:10][c:11]2[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]2[CH3:22])cc1>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH:7][C:8](=[O:9])[NH:10][c:11]1[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]1[CH3:22])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	6	C[O:29][C:27]([C@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])=[O:28]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[C:27](=[O:28])[OH:29]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1	6	[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH2:13].O=[N+]([O-])c1ccc(O[C:14](=[O:15])[O:16][c:17]2[cH:18][cH:19][c:20]([N+:21](=[O:22])[O-:23])[cH:24][cH:25]2)cc1>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[O:16][c:17]1[cH:18][cH:19][c:20]([N+:21](=[O:22])[O-:23])[cH:24][cH:25]1
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C	6	[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH2:7])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30].O=[N+]([O-])c1ccc(O[C:8](=[O:9])[NH:10][c:11]2[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]2[CH3:22])cc1>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH:7][C:8](=[O:9])[NH:10][c:11]1[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]1[CH3:22])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	6	CC(C)(C)OC(=O)[NH:19][C@@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[C:20](=[O:21])[OH:22]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH2:19])[C:20](=[O:21])[OH:22]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1	7	[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH2:13].Cl[C:14](=[O:15])[O:16][c:17]1[cH:18][cH:19][c:20]([N+:21](=[O:22])[O-:23])[cH:24][cH:25]1>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[O:16][c:17]1[cH:18][cH:19][c:20]([N+:21](=[O:22])[O-:23])[cH:24][cH:25]1
LHEYGVSDVBEYQF-QMMMGPOBSA-N	CC(C)(C)OC(=O)N[C@@H](CN)C(=O)O.Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	7	[NH2:16][CH2:17][C@H:18]([NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[C:27](=[O:28])[OH:29].[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[N:13]=[C:14]=[O:15]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[C:27](=[O:28])[OH:29]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	7	CC(C)(C)OC(=O)[NH:19][C@@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[C:20](=[O:21])[OH:22]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH2:19])[C:20](=[O:21])[OH:22]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccc([N+](=O)[O-])cc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O	7	O=[N+]([O-])c1ccc(O[C:14]([NH:13][c:12]2[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]2)=[O:15])cc1>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[N:13]=[C:14]=[O:15]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O	8	C[O:29][C:27]([C@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])=[O:28]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH:19][C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[C:27](=[O:28])[OH:29]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C	8	[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH2:7])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30].[C:8](=[O:9])=[N:10][c:11]1[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]1[CH3:22]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH:7][C:8](=[O:9])[NH:10][c:11]1[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]1[CH3:22])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](NC(=O)OC(C)(C)C)C(=O)O>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)NC[C@H](N)C(=O)O	8	CC(C)(C)OC(=O)[NH:19][C@@H:18]([CH2:17][NH:16][C:14]([NH:13][c:12]1[c:2]([CH3:1])[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11]1)=[O:15])[C:20](=[O:21])[OH:22]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[NH:16][CH2:17][C@H:18]([NH2:19])[C:20](=[O:21])[OH:22]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(N)cc(S(=O)(=O)O)cc1Cl.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O	8	[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH2:13].ClC(Cl)(Cl)O[C:14](OC(Cl)(Cl)Cl)=[O:15]>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[N:13]=[C:14]=[O:15]
LHEYGVSDVBEYQF-QMMMGPOBSA-N	Cc1c(Cl)cc(S(=O)(=O)O)cc1N=C=O.Oc1ccccc1>>Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccccc1	9	[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[N:13]=[C:14]=[O:15].[OH:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([S:7](=[O:8])(=[O:9])[OH:10])[cH:11][c:12]1[NH:13][C:14](=[O:15])[O:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1
LHEYGVSDVBEYQF-QMMMGPOBSA-N	COC(=O)[C@H](CN)NC(=O)OC(C)(C)C.Cc1c(Cl)cc(S(=O)(=O)O)cc1NC(=O)Oc1ccccc1>>COC(=O)[C@H](CNC(=O)Nc1cc(S(=O)(=O)O)cc(Cl)c1C)NC(=O)OC(C)(C)C	9	[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH2:7])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30].c1ccc(O[C:8](=[O:9])[NH:10][c:11]2[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]2[CH3:22])cc1>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][NH:7][C:8](=[O:9])[NH:10][c:11]1[cH:12][c:13]([S:14](=[O:15])(=[O:16])[OH:17])[cH:18][c:19]([Cl:20])[c:21]1[CH3:22])[NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30]
