tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	2	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:11])(=[O:26])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]([NH2:10])=[O:11])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(I)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1	2	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1.I[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	3	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH2:23])[cH:34][cH:35]1.Cl[S:24](=[O:25])(=[O:26])[c:27]1[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]2[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]2)[cH:34][cH:35]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCC(=O)O.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1	3	O=[C:3](O)[CH2:2][CH3:1].[NH2:4][c:5]1[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]1[NH2:13]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1	3	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:24][cH:25]1.[C:21](=[N-:22])=[O:23]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21]([NH2:22])=[O:23])[cH:24][cH:25]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	[C-]#N>>[N-]=C=O	3	[N:1]#[C-:2]>>[N-:1]=[C:2]=[O:3]
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	3	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:11])(=[O:26])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]([NH2:10])=[O:11])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(Br)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1	3	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1.Br[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	4	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH2:23])[cH:34][cH:35]1.Cl[S:24](=[O:25])(=[O:26])[c:27]1[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]2[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]2)[cH:34][cH:35]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCC=O.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1	4	O=[CH:3][CH2:2][CH3:1].[NH2:4][c:5]1[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]1[NH2:13]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1	4	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:24][cH:25]1.[C:21](=[N-:22])=[O:23]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21]([NH2:22])=[O:23])[cH:24][cH:25]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	[C-]#N>>[N-]=C=O	4	[N:1]#[C-:2]>>[N-:1]=[C:2]=[O:3]
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	4	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:11])(=[O:26])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]([NH2:10])=[O:11])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(I)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1	4	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1.I[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	5	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH2:23])[cH:34][cH:35]1.Cl[S:24](=[O:25])(=[O:26])[c:27]1[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]2[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]2)[cH:34][cH:35]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1	5	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:24][cH:25]1.[C:21](=[N-:22])=[O:23]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21]([NH2:22])=[O:23])[cH:24][cH:25]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	[C-]#N>>[N-]=C=O	5	[N:1]#[C-:2]>>[N-:1]=[C:2]=[O:3]
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	5	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:11])(=[O:26])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]([NH2:10])=[O:11])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCOC(=N)CC.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1	5	CCO[C:3](=N)[CH2:2][CH3:1].[NH2:4][c:5]1[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]1[NH2:13]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(I)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1	5	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1.I[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	6	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH2:23])[cH:34][cH:35]1.Cl[S:24](=[O:25])(=[O:26])[c:27]1[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]2[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]2)[cH:34][cH:35]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCC=O.N#Cc1ccc(N)c(N)c1>>CCc1nc2ccc(C#N)cc2[nH]1	6	O=[CH:3][CH2:2][CH3:1].[NH2:4][c:5]1[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]1[NH2:13]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1.[N-]=C=O>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1	6	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:24][cH:25]1.[C:21](=[N-:22])=[O:23]>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21]([NH2:22])=[O:23])[cH:24][cH:25]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	[C-]#N>>[N-]=C=O	6	[N:1]#[C-:2]>>[N-:1]=[C:2]=[O:3]
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1>>CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	6	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:11])(=[O:26])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]([NH2:10])=[O:11])[cH:12][c:13]2[n:14]1-[c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][NH:21][C:22](=[O:23])[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][c:31]([CH3:32])[cH:33][cH:34]2)[cH:35][cH:36]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2[nH]1.NCCc1ccc(Br)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCN)cc1	6	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[nH:13]1.Br[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH2:20])[cH:21][cH:22]1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(N)=O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>>CCc1nc2ccc(C#N)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1	7	[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH2:23])[cH:34][cH:35]1.Cl[S:24](=[O:25])(=[O:26])[c:27]1[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]1>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][c:12]2[n:13]1-[c:14]1[cH:15][cH:16][c:17]([CH2:18][CH2:19][NH:20][C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]2[cH:28][cH:29][c:30]([CH3:31])[cH:32][cH:33]2)[cH:34][cH:35]1
