tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)c1ccc(C#N)cc1Cl>>COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl	6	CC(C)(C)OC(=O)O[C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17].[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:18][c:19]1[Cl:20]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1.Nc1ccc(Cl)c(-c2ccccn2)c1>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	6	Cl[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:32][c:30]1[Cl:31])=[O:15].[NH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[NH:16][c:17]2[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][n:28]3)[cH:29]2)[c:30]([Cl:31])[cH:32]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1	7	CO[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:19][c:17]1[Cl:16])=[O:15]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[Cl:16])[c:17]([Cl:18])[cH:19]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1.Nc1ccc(Cl)c(-c2ccccn2)c1>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	7	Cl[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:32][c:30]1[Cl:31])=[O:15].[NH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[NH:16][c:17]2[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][n:28]3)[cH:29]2)[c:30]([Cl:31])[cH:32]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(C(=O)O)c(Cl)c1.CO>>COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl	7	O[C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20].[CH3:1][OH:2]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1	8	CO[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:19][c:17]1[Cl:16])=[O:15]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[Cl:16])[c:17]([Cl:18])[cH:19]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(Br)c(Cl)c1.CO.[C]=O>>COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl	8	Br[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1.Nc1ccc(Cl)c(-c2ccccn2)c1>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	8	Cl[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:32][c:30]1[Cl:31])=[O:15].[NH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[NH:16][c:17]2[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][n:28]3)[cH:29]2)[c:30]([Cl:31])[cH:32]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N#Cc1ccc(Br)c(Cl)c1>>CC(C)(C)OC(=O)NCc1ccc(Br)c(Cl)c1	8	CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[N:8]#[C:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[c:15]([Cl:16])[cH:17]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[c:15]([Cl:16])[cH:17]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	O=C=O>>[C]=O	8	O=[C:1]=[O:2]>>[C:1]=[O:2]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1	9	CO[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:19][c:17]1[Cl:16])=[O:15]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[Cl:16])[c:17]([Cl:18])[cH:19]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	O=CO>>[C]=O	9	O=[CH:1][OH:2]>>[C:1]=[O:2]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(Br)c(Cl)c1.CO.[C]=O>>COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl	9	Br[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1.Nc1ccc(Cl)c(-c2ccccn2)c1>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	9	Cl[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:32][c:30]1[Cl:31])=[O:15].[NH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[NH:16][c:17]2[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][n:28]3)[cH:29]2)[c:30]([Cl:31])[cH:32]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N#Cc1ccc(Br)c(Cl)c1>>CC(C)(C)OC(=O)NCc1ccc(Br)c(Cl)c1	9	CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[N:8]#[C:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[c:15]([Cl:16])[cH:17]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[c:15]([Cl:16])[cH:17]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CO>>[C]=O	10	[CH3:1][OH:2]>>[C:1]=[O:2]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1	10	CO[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:19][c:17]1[Cl:16])=[O:15]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[Cl:16])[c:17]([Cl:18])[cH:19]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(Br)c(Cl)c1.CO.[C]=O>>COC(=O)c1ccc(CNC(=O)OC(C)(C)C)cc1Cl	10	Br[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20].[CH3:1][OH:2].[C:3]=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][NH:10][C:11](=[O:12])[O:13][C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][c:19]1[Cl:20]
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N#Cc1ccc(Br)c(Cl)c1>>CC(C)(C)OC(=O)NCc1ccc(Br)c(Cl)c1	10	CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[N:8]#[C:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[c:15]([Cl:16])[cH:17]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([Br:14])[c:15]([Cl:16])[cH:17]1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(C(=O)Cl)c(Cl)c1.Nc1ccc(Cl)c(-c2ccccn2)c1>>CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	10	Cl[C:14]([c:13]1[cH:12][cH:11][c:10]([CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[cH:32][c:30]1[Cl:31])=[O:15].[NH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]2[cH:24][cH:25][cH:26][cH:27][n:28]2)[cH:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([C:14](=[O:15])[NH:16][c:17]2[cH:18][cH:19][c:20]([Cl:21])[c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][n:28]3)[cH:29]2)[c:30]([Cl:31])[cH:32]1
