tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COS(C)(=O)=O)CC1.Oc1ccc(Br)nc1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1	3	CS(=O)(=O)O[CH2:12][CH:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:22][CH2:21]1.[OH:13][c:14]1[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(=O)OC(C)=O.c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1>>CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	3	CC(=O)O[C:2]([CH3:1])=[O:3].[NH:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1.CC1(C)OB(c2ccnn2C2CCCCO2)OC1(C)C>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1	3	Br[c:17]1[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]2[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:32][CH2:31]2)[cH:30][n:29]1.CC1(C)OB([c:18]2[cH:19][cH:20][n:21][n:22]2[CH:23]2[CH2:24][CH2:25][CH2:26][CH2:27][O:28]2)OC1(C)C>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][n:22]3[CH:23]3[CH2:24][CH2:25][CH2:26][CH2:27][O:28]3)[n:29][cH:30]2)[CH2:31][CH2:32]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1>>c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1	3	CC(C)(C)OC(=O)[N:13]1[CH2:12][CH2:11][CH:10]([CH2:9][O:8][c:7]2[cH:6][cH:5][c:4](-[c:3]3[cH:2][cH:1][n:19][nH:18]3)[n:17][cH:16]2)[CH2:15][CH2:14]1>>[cH:1]1[cH:2][c:3](-[c:4]2[cH:5][cH:6][c:7]([O:8][CH2:9][CH:10]3[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]3)[cH:16][n:17]2)[nH:18][n:19]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	3	C1CCC([n:22]2[c:18](-[c:17]3[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]4[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:26][CH2:25]4)[cH:24][n:23]3)[cH:19][cH:20][n:21]2)OC1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][nH:22]3)[n:23][cH:24]2)[CH2:25][CH2:26]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COS(C)(=O)=O)CC1.Oc1ccc(Br)nc1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1	4	CS(=O)(=O)O[CH2:12][CH:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:22][CH2:21]1.[OH:13][c:14]1[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(=O)OC(C)=O.c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1>>CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	4	CC(=O)O[C:2]([CH3:1])=[O:3].[NH:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1>>c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1	4	CC(C)(C)OC(=O)[N:13]1[CH2:12][CH2:11][CH:10]([CH2:9][O:8][c:7]2[cH:6][cH:5][c:4](-[c:3]3[cH:2][cH:1][n:19][nH:18]3)[n:17][cH:16]2)[CH2:15][CH2:14]1>>[cH:1]1[cH:2][c:3](-[c:4]2[cH:5][cH:6][c:7]([O:8][CH2:9][CH:10]3[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]3)[cH:16][n:17]2)[nH:18][n:19]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	Brc1ccnn1C1CCCCO1.CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1	4	Br[c:18]1[cH:19][cH:20][n:21][n:22]1[CH:23]1[CH2:24][CH2:25][CH2:26][CH2:27][O:28]1.Br[c:17]1[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]2[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:32][CH2:31]2)[cH:30][n:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][n:22]3[CH:23]3[CH2:24][CH2:25][CH2:26][CH2:27][O:28]3)[n:29][cH:30]2)[CH2:31][CH2:32]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	4	C1CCC([n:22]2[c:18](-[c:17]3[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]4[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:26][CH2:25]4)[cH:24][n:23]3)[cH:19][cH:20][n:21]2)OC1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][nH:22]3)[n:23][cH:24]2)[CH2:25][CH2:26]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(CBr)CC1.Oc1ccc(Br)nc1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1	5	Br[CH2:12][CH:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:22][CH2:21]1.[OH:13][c:14]1[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(=O)OC(C)=O.c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1>>CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	5	CC(=O)O[C:2]([CH3:1])=[O:3].[NH:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1.CC1(C)OB(c2ccnn2C2CCCCO2)OC1(C)C>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1	5	Br[c:17]1[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]2[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:32][CH2:31]2)[cH:30][n:29]1.CC1(C)OB([c:18]2[cH:19][cH:20][n:21][n:22]2[CH:23]2[CH2:24][CH2:25][CH2:26][CH2:27][O:28]2)OC1(C)C>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][n:22]3[CH:23]3[CH2:24][CH2:25][CH2:26][CH2:27][O:28]3)[n:29][cH:30]2)[CH2:31][CH2:32]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1>>c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1	5	CC(C)(C)OC(=O)[N:13]1[CH2:12][CH2:11][CH:10]([CH2:9][O:8][c:7]2[cH:6][cH:5][c:4](-[c:3]3[cH:2][cH:1][n:19][nH:18]3)[n:17][cH:16]2)[CH2:15][CH2:14]1>>[cH:1]1[cH:2][c:3](-[c:4]2[cH:5][cH:6][c:7]([O:8][CH2:9][CH:10]3[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]3)[cH:16][n:17]2)[nH:18][n:19]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	5	C1CCC([n:22]2[c:18](-[c:17]3[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]4[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:26][CH2:25]4)[cH:24][n:23]3)[cH:19][cH:20][n:21]2)OC1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][nH:22]3)[n:23][cH:24]2)[CH2:25][CH2:26]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(CBr)CC1.Oc1ccc(Br)nc1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1	6	Br[CH2:12][CH:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:22][CH2:21]1.[OH:13][c:14]1[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(=O)OC(C)=O.c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1>>CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	6	CC(=O)O[C:2]([CH3:1])=[O:3].[NH:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1>>c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1	6	CC(C)(C)OC(=O)[N:13]1[CH2:12][CH2:11][CH:10]([CH2:9][O:8][c:7]2[cH:6][cH:5][c:4](-[c:3]3[cH:2][cH:1][n:19][nH:18]3)[n:17][cH:16]2)[CH2:15][CH2:14]1>>[cH:1]1[cH:2][c:3](-[c:4]2[cH:5][cH:6][c:7]([O:8][CH2:9][CH:10]3[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]3)[cH:16][n:17]2)[nH:18][n:19]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	Brc1ccnn1C1CCCCO1.CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1	6	Br[c:18]1[cH:19][cH:20][n:21][n:22]1[CH:23]1[CH2:24][CH2:25][CH2:26][CH2:27][O:28]1.Br[c:17]1[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]2[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:32][CH2:31]2)[cH:30][n:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][n:22]3[CH:23]3[CH2:24][CH2:25][CH2:26][CH2:27][O:28]3)[n:29][cH:30]2)[CH2:31][CH2:32]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	6	C1CCC([n:22]2[c:18](-[c:17]3[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]4[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:26][CH2:25]4)[cH:24][n:23]3)[cH:19][cH:20][n:21]2)OC1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][nH:22]3)[n:23][cH:24]2)[CH2:25][CH2:26]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(CO)CC1.Oc1ccc(Br)nc1>>CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1	7	O[CH2:12][CH:11]1[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:22][CH2:21]1.[OH:13][c:14]1[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([Br:18])[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(=O)OC(C)=O.c1cc(-c2ccc(OCC3CCNCC3)cn2)[nH]n1>>CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1	7	CC(=O)O[C:2]([CH3:1])=[O:3].[NH:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1>>[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][c:10]2[cH:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][n:17][nH:18]3)[n:19][cH:20]2)[CH2:21][CH2:22]1
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1.CC1(C)OB(c2ccnn2C2CCCCO2)OC1(C)C>>CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3ccnn3C3CCCCO3)nc2)CC1	7	Br[c:17]1[cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]2[CH2:10][CH2:9][N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:32][CH2:31]2)[cH:30][n:29]1.CC1(C)OB([c:18]2[cH:19][cH:20][n:21][n:22]2[CH:23]2[CH2:24][CH2:25][CH2:26][CH2:27][O:28]2)OC1(C)C>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][cH:20][n:21][n:22]3[CH:23]3[CH2:24][CH2:25][CH2:26][CH2:27][O:28]3)[n:29][cH:30]2)[CH2:31][CH2:32]1
