tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
YCKSXEPJXNDHEB-UHFFFAOYSA-N	BrCCCBr.O=c1ccc(Cl)n[nH]1>>O=c1ccc(Cl)nn1CCCBr	4	Br[CH2:9][CH2:10][CH2:11][Br:12].[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][nH:8]1>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][Br:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	BrCC1CCNCC1.Nc1c(Cl)cc(C(=O)O)c2c1CCO2>>Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2	4	Br[CH2:10][CH:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1.[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[OH:9])[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2.O=c1ccc(Cl)nn1CCCBr>>Nc1c(Cl)cc(C(=O)OCC2CCN(CCCn3nc(Cl)ccc3=O)CC2)c2c1CCO2	5	[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2.Br[CH2:15][CH2:16][CH2:17][n:18]1[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]1=[O:25]>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH2:17][n:18]3[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]3=[O:25])[CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)n[nH]1.OCCCBr>>O=c1ccc(Cl)nn1CCCBr	5	[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][nH:8]1.O[CH2:9][CH2:10][CH2:11][Br:12]>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][Br:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)O)c2c1CCO2.OCC1CCNCC1>>Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2	5	O[C:7]([c:6]1[cH:5][c:3]([Cl:4])[c:2]([NH2:1])[c:18]2[c:17]1[O:21][CH2:20][CH2:19]2)=[O:8].[OH:9][CH2:10][CH:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2.O=c1ccc(Cl)nn1CCCBr>>Nc1c(Cl)cc(C(=O)OCC2CCN(CCCn3nc(Cl)ccc3=O)CC2)c2c1CCO2	6	[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2.Br[CH2:15][CH2:16][CH2:17][n:18]1[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]1=[O:25]>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH2:17][n:18]3[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]3=[O:25])[CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)n[nH]1.OCCCBr>>O=c1ccc(Cl)nn1CCCBr	6	[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][nH:8]1.O[CH2:9][CH2:10][CH2:11][Br:12]>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][Br:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	BrCC1CCNCC1.Nc1c(Cl)cc(C(=O)O)c2c1CCO2>>Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2	6	Br[CH2:10][CH:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1.[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[OH:9])[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)nn1CCCO>>O=c1ccc(Cl)nn1CCCBr	7	O[CH2:11][CH2:10][CH2:9][n:8]1[c:2](=[O:1])[cH:3][cH:4][c:5]([Cl:6])[n:7]1>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][Br:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)n[nH]1.OCCCI>>O=c1ccc(Cl)nn1CCCO	7	[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][nH:8]1.I[CH2:9][CH2:10][CH2:11][OH:12]>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][OH:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2.O=c1ccc(Cl)nn1CCCBr>>Nc1c(Cl)cc(C(=O)OCC2CCN(CCCn3nc(Cl)ccc3=O)CC2)c2c1CCO2	7	[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2.Br[CH2:15][CH2:16][CH2:17][n:18]1[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]1=[O:25]>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH2:17][n:18]3[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]3=[O:25])[CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)O)c2c1CCO2.OCC1CCNCC1>>Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2	7	O[C:7]([c:6]1[cH:5][c:3]([Cl:4])[c:2]([NH2:1])[c:18]2[c:17]1[O:21][CH2:20][CH2:19]2)=[O:8].[OH:9][CH2:10][CH:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)nn1CCCO>>O=c1ccc(Cl)nn1CCCBr	8	O[CH2:11][CH2:10][CH2:9][n:8]1[c:2](=[O:1])[cH:3][cH:4][c:5]([Cl:6])[n:7]1>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][Br:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)n[nH]1.OCCCBr>>O=c1ccc(Cl)nn1CCCO	8	[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][nH:8]1.Br[CH2:9][CH2:10][CH2:11][OH:12]>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][OH:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2.O=c1ccc(Cl)nn1CCCBr>>Nc1c(Cl)cc(C(=O)OCC2CCN(CCCn3nc(Cl)ccc3=O)CC2)c2c1CCO2	8	[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2.Br[CH2:15][CH2:16][CH2:17][n:18]1[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]1=[O:25]>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH2:17][n:18]3[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]3=[O:25])[CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)O)c2c1CCO2.OCC1CCNCC1>>Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2	8	O[C:7]([c:6]1[cH:5][c:3]([Cl:4])[c:2]([NH2:1])[c:18]2[c:17]1[O:21][CH2:20][CH2:19]2)=[O:8].[OH:9][CH2:10][CH:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)nn1CCCO>>O=c1ccc(Cl)nn1CCCBr	9	O[CH2:11][CH2:10][CH2:9][n:8]1[c:2](=[O:1])[cH:3][cH:4][c:5]([Cl:6])[n:7]1>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][Br:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	BrCC1CCNCC1.Nc1c(Cl)cc(C(=O)O)c2c1CCO2>>Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2	9	Br[CH2:10][CH:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1.[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[OH:9])[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)n[nH]1.OCCCI>>O=c1ccc(Cl)nn1CCCO	9	[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][nH:8]1.I[CH2:9][CH2:10][CH2:11][OH:12]>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][OH:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2.O=c1ccc(Cl)nn1CCCBr>>Nc1c(Cl)cc(C(=O)OCC2CCN(CCCn3nc(Cl)ccc3=O)CC2)c2c1CCO2	9	[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2.Br[CH2:15][CH2:16][CH2:17][n:18]1[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]1=[O:25]>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH2:17][n:18]3[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]3=[O:25])[CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)nn1CCCO>>O=c1ccc(Cl)nn1CCCBr	10	O[CH2:11][CH2:10][CH2:9][n:8]1[c:2](=[O:1])[cH:3][cH:4][c:5]([Cl:6])[n:7]1>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][Br:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	BrCC1CCNCC1.Nc1c(Cl)cc(C(=O)O)c2c1CCO2>>Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2	10	Br[CH2:10][CH:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1.[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[OH:9])[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]2[c:18]1[CH2:19][CH2:20][O:21]2
YCKSXEPJXNDHEB-UHFFFAOYSA-N	O=c1ccc(Cl)n[nH]1.OCCCBr>>O=c1ccc(Cl)nn1CCCO	10	[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][nH:8]1.Br[CH2:9][CH2:10][CH2:11][OH:12]>>[O:1]=[c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][n:8]1[CH2:9][CH2:10][CH2:11][OH:12]
YCKSXEPJXNDHEB-UHFFFAOYSA-N	Nc1c(Cl)cc(C(=O)OCC2CCNCC2)c2c1CCO2.O=c1ccc(Cl)nn1CCCBr>>Nc1c(Cl)cc(C(=O)OCC2CCN(CCCn3nc(Cl)ccc3=O)CC2)c2c1CCO2	10	[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][NH:14][CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2.Br[CH2:15][CH2:16][CH2:17][n:18]1[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]1=[O:25]>>[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][CH:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][CH2:17][n:18]3[n:19][c:20]([Cl:21])[cH:22][cH:23][c:24]3=[O:25])[CH2:26][CH2:27]2)[c:28]2[c:29]1[CH2:30][CH2:31][O:32]2
