tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	6	[CH3:1][c:2]1[c:3]([C@@H:4]([NH2:5])[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12.c1ccc(O[C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)cc1>>[CH3:1][c:2]1[c:3]([C@@H:4]([NH:5][C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	6	[NH2:1][c:2]1[n:3][cH:4][c:5]([N:6]=[C:7]=[O:8])[cH:16][n:17]1.[OH:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1>>[NH2:1][c:2]1[n:3][cH:4][c:5]([NH:6][C:7](=[O:8])[O:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][n:17]1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1>>Nc1ncc(N=C=O)cn1	6	[NH2:1][c:2]1[n:3][cH:4][c:5]([NH2:6])[cH:9][n:10]1>>[NH2:1][c:2]1[n:3][cH:4][c:5]([N:6]=[C:7]=[O:8])[cH:9][n:10]1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(N=C=O)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	7	[CH3:1][c:2]1[c:3]([C@@H:4]([NH2:5])[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12.[C:6](=[O:7])=[N:8][c:9]1[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]1>>[CH3:1][c:2]1[c:3]([C@@H:4]([NH:5][C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1	7	[NH2:1][c:2]1[n:3][cH:4][c:5]([NH2:6])[cH:9][n:10]1.ClC(Cl)(Cl)O[C:7](Cl)=[O:8]>>[NH2:1][c:2]1[n:3][cH:4][c:5]([N:6]=[C:7]=[O:8])[cH:9][n:10]1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Cl)OC(Cl)(Cl)Cl>>Nc1ncc(N=C=O)cn1	8	[NH2:1][c:2]1[n:3][cH:4][c:5]([NH2:6])[cH:9][n:10]1.ClC(Cl)(Cl)O[C:7](Cl)=[O:8]>>[NH2:1][c:2]1[n:3][cH:4][c:5]([N:6]=[C:7]=[O:8])[cH:9][n:10]1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	8	[CH3:1][c:2]1[c:3]([C@@H:4]([NH2:5])[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12.c1ccc(O[C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)cc1>>[CH3:1][c:2]1[c:3]([C@@H:4]([NH:5][C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1ncc(N=C=O)cn1.Oc1ccccc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	8	[NH2:1][c:2]1[n:3][cH:4][c:5]([N:6]=[C:7]=[O:8])[cH:16][n:17]1.[OH:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1>>[NH2:1][c:2]1[n:3][cH:4][c:5]([NH:6][C:7](=[O:8])[O:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][n:17]1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1>>Nc1ncc(NC(=O)Oc2ccc([N+](=O)[O-])cc2)cn1	9	[NH2:1][c:2]1[n:3][cH:4][c:5]([NH2:6])[cH:19][n:20]1.Cl[C:7](=[O:8])[O:9][c:10]1[cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17][cH:18]1>>[NH2:1][c:2]1[n:3][cH:4][c:5]([NH:6][C:7](=[O:8])[O:9][c:10]2[cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17][cH:18]2)[cH:19][n:20]1
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccc([N+](=O)[O-])cc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	9	[CH3:1][c:2]1[c:3]([C@@H:4]([NH2:5])[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12.O=[N+]([O-])c1ccc(O[C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)cc1>>[CH3:1][c:2]1[c:3]([C@@H:4]([NH:5][C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Cc1c([C@@H](N)C(F)(F)F)oc2c(F)cc(F)cc12.Nc1ncc(NC(=O)Oc2ccccc2)cn1>>Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12	10	[CH3:1][c:2]1[c:3]([C@@H:4]([NH2:5])[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12.c1ccc(O[C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)cc1>>[CH3:1][c:2]1[c:3]([C@@H:4]([NH:5][C:6](=[O:7])[NH:8][c:9]2[cH:10][n:11][c:12]([NH2:13])[n:14][cH:15]2)[C:16]([F:17])([F:18])[F:19])[o:20][c:21]2[c:22]([F:23])[cH:24][c:25]([F:26])[cH:27][c:28]12
LGPNQALKGDDVBD-CYBMUJFWSA-N	Nc1cnc(N)nc1.O=C(Oc1ccccc1)Oc1ccc([N+](=O)[O-])cc1>>Nc1ncc(NC(=O)Oc2ccccc2)cn1	10	[NH2:1][c:2]1[n:3][cH:4][c:5]([NH2:6])[cH:16][n:17]1.O=[N+]([O-])c1ccc(O[C:7](=[O:8])[O:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)cc1>>[NH2:1][c:2]1[n:3][cH:4][c:5]([NH:6][C:7](=[O:8])[O:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][n:17]1
