tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	3	CC(C)(C)OC(=O)[NH:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	c1ccc(CSc2cnn3c2OCCC3)cc1>>O=S(=O)(Cl)c1cnn2c1OCCC2	3	c1ccc(C[S:2][c:5]2[cH:6][n:7][n:8]3[c:9]2[O:1][CH2:11][CH2:12][CH2:13]3)cc1>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	3	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Ic1cnn2c1OCCC2.SCc1ccccc1>>c1ccc(CSc2cnn3c2OCCC3)cc1	3	I[c:7]1[cH:8][n:9][n:10]2[c:11]1[O:12][CH2:13][CH2:14][CH2:15]2.[cH:1]1[cH:2][cH:3][c:4]([CH2:5][SH:6])[cH:16][cH:17]1>>[cH:1]1[cH:2][cH:3][c:4]([CH2:5][S:6][c:7]2[cH:8][n:9][n:10]3[c:11]2[O:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]1
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	4	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2>>O=S(=O)(Cl)c1cnn2c1OCCC2	4	Br[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:1][CH2:11][CH2:12][CH2:13]2>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	O=S(=O)(Cl)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	4	Cl[S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:1]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	c1ccc(CSc2cnn3c2OCCC3)cc1>>O=S(=O)(Cl)c1cnn2c1OCCC2	5	c1ccc(C[S:2][c:5]2[cH:6][n:7][n:8]3[c:9]2[O:1][CH2:11][CH2:12][CH2:13]3)cc1>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	5	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2.SCc1ccccc1>>c1ccc(CSc2cnn3c2OCCC3)cc1	5	Br[c:7]1[cH:8][n:9][n:10]2[c:11]1[O:12][CH2:13][CH2:14][CH2:15]2.[cH:1]1[cH:2][cH:3][c:4]([CH2:5][SH:6])[cH:16][cH:17]1>>[cH:1]1[cH:2][cH:3][c:4]([CH2:5][S:6][c:7]2[cH:8][n:9][n:10]3[c:11]2[O:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]1
KWSGPJCQWZMUQM-UHFFFAOYSA-N	O=S(=O)(Cl)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	5	Cl[S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:1]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Ic1cnn2c1OCCC2.SCc1ccccc1>>c1ccc(CSc2cnn3c2OCCC3)cc1	6	I[c:7]1[cH:8][n:9][n:10]2[c:11]1[O:12][CH2:13][CH2:14][CH2:15]2.[cH:1]1[cH:2][cH:3][c:4]([CH2:5][SH:6])[cH:16][cH:17]1>>[cH:1]1[cH:2][cH:3][c:4]([CH2:5][S:6][c:7]2[cH:8][n:9][n:10]3[c:11]2[O:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]1
KWSGPJCQWZMUQM-UHFFFAOYSA-N	c1ccc(CSc2cnn3c2OCCC3)cc1>>O=S(=O)(Cl)c1cnn2c1OCCC2	6	c1ccc(C[S:2][c:5]2[cH:6][n:7][n:8]3[c:9]2[O:1][CH2:11][CH2:12][CH2:13]3)cc1>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	6	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	O=S(=O)(Cl)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	6	Cl[S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:1]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2	7	[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH2:8].Cl[S:9](=[O:10])(=[O:11])[c:12]1[cH:13][n:14][n:15]2[c:16]1[O:17][CH2:18][CH2:19][CH2:20]2>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][S:9](=[O:10])(=[O:11])[c:12]1[cH:13][n:14][n:15]2[c:16]1[O:17][CH2:18][CH2:19][CH2:20]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	7	CC(C)(C)OC(=O)[NH:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	7	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Sc1cnn2c1OCCC2>>O=S(=O)(Cl)c1cnn2c1OCCC2	7	[O:1]1[c:9]2[c:5]([SH:2])[cH:6][n:7][n:8]2[CH2:13][CH2:12][CH2:11]1>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2>>Sc1cnn2c1OCCC2	7	Br[c:2]1[cH:3][n:4][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2>>[SH:1][c:2]1[cH:3][n:4][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2>>Sc1cnn2c1OCCC2	8	Br[c:2]1[cH:3][n:4][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2>>[SH:1][c:2]1[cH:3][n:4][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	8	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Sc1cnn2c1OCCC2>>O=S(=O)(Cl)c1cnn2c1OCCC2	8	[O:1]1[c:9]2[c:5]([SH:2])[cH:6][n:7][n:8]2[CH2:13][CH2:12][CH2:11]1>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	O=S(=O)(Cl)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	8	Cl[S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:1]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(N)=O.O=S(=O)(Cl)c1cnn2c1OCCC2>>CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2	9	[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH2:8].Cl[S:9](=[O:10])(=[O:11])[c:12]1[cH:13][n:14][n:15]2[c:16]1[O:17][CH2:18][CH2:19][CH2:20]2>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][S:9](=[O:10])(=[O:11])[c:12]1[cH:13][n:14][n:15]2[c:16]1[O:17][CH2:18][CH2:19][CH2:20]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Nc1cnn2c1OCCC2>>O=S(=O)(Cl)c1cnn2c1OCCC2	9	N[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:1][CH2:11][CH2:12][CH2:13]2>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	CC(C)(C)OC(=O)NS(=O)(=O)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	9	CC(C)(C)OC(=O)[NH:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	9	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2>>Nc1cnn2c1OCCC2	9	Br[c:2]1[cH:3][n:1][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2>>[NH2:1][c:2]1[cH:3][n:4][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Brc1cnn2c1OCCC2>>Nc1cnn2c1OCCC2	10	Br[c:2]1[cH:3][n:1][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2>>[NH2:1][c:2]1[cH:3][n:4][n:5]2[c:6]1[O:7][CH2:8][CH2:9][CH2:10]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	NS(=O)(=O)c1cnn2c1OCCC2.O=C=Nc1c2c(cc3c1CCC3)CCC2>>O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2	10	[NH2:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2.[O:1]=[C:2]=[N:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2>>[O:1]=[C:2]([NH:3][c:4]1[c:5]2[c:6]([cH:7][c:8]3[c:9]1[CH2:10][CH2:11][CH2:12]3)[CH2:13][CH2:14][CH2:15]2)[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][n:22][n:23]2[c:24]1[O:25][CH2:26][CH2:27][CH2:28]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	Nc1cnn2c1OCCC2>>O=S(=O)(Cl)c1cnn2c1OCCC2	10	N[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:1][CH2:11][CH2:12][CH2:13]2>>[O:1]=[S:2](=[O:3])([Cl:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
KWSGPJCQWZMUQM-UHFFFAOYSA-N	O=S(=O)(Cl)c1cnn2c1OCCC2>>NS(=O)(=O)c1cnn2c1OCCC2	10	Cl[S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:1]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2>>[NH2:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][n:7][n:8]2[c:9]1[O:10][CH2:11][CH2:12][CH2:13]2
