tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	4	O[C:23]([c:22]1[c:21]2[n:20][c:5]([NH:6][c:7]3[cH:8][cH:9][cH:10][n:11](-[c:12]4[cH:13][cH:14][cH:15][cH:16][n:17]4)[c:18]3=[O:19])[cH:4][c:3]([NH:2][CH3:1])[n:34]2[n:33][cH:32]1)=[O:24].[NH2:25][C@@H:26]1[CH2:27][CH2:28][C@H:29]1[O:30][CH3:31]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[NH:25][C@@H:26]3[CH2:27][CH2:28][C@H:29]3[O:30][CH3:31])[cH:32][n:33][n:34]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(N)nc12.O=c1c(Cl)cccn1-c1ccccn1>>CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12	4	[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH2:15])[n:29][c:30]12.Cl[c:16]1[cH:17][cH:18][cH:19][n:20](-[c:21]2[cH:22][cH:23][cH:24][cH:25][n:26]2)[c:27]1=[O:28]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH:15][c:16]3[cH:17][cH:18][cH:19][n:20](-[c:21]4[cH:22][cH:23][cH:24][cH:25][n:26]4)[c:27]3=[O:28])[n:29][c:30]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	Brc1ccccn1.Oc1ncccc1Cl>>O=c1c(Cl)cccn1-c1ccccn1	4	Br[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1.[OH:1][c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][n:8]1>>[O:1]=[c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][n:8]1-[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Cl)nc12>>CCOC(=O)c1cnn2c(NC)cc(N)nc12	4	Cl[c:14]1[cH:13][c:10]([NH:11][CH3:12])[n:9]2[n:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[c:17]2[n:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH2:15])[n:16][c:17]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Cl)nc2c(C(=O)O)cnn12.Nc1cccn(-c2ccccn2)c1=O>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12	5	Cl[c:5]1[cH:4][c:3]([NH:2][CH3:1])[n:28]2[c:21]([n:20]1)[c:22]([C:23](=[O:24])[OH:25])[cH:26][n:27]2.[NH2:6][c:7]1[cH:8][cH:9][cH:10][n:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[c:18]1=[O:19]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[OH:25])[cH:26][n:27][n:28]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CN.N#Cc1cnn2c(Cl)cc(Cl)nc12>>CNc1cc(Cl)nc2c(C#N)cnn12	5	[CH3:1][NH2:2].Cl[c:3]1[cH:4][c:5]([Cl:6])[n:7][c:8]2[c:9]([C:10]#[N:11])[cH:12][n:13][n:14]12>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([Cl:6])[n:7][c:8]2[c:9]([C:10]#[N:11])[cH:12][n:13][n:14]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	5	O[C:23]([c:22]1[c:21]2[n:20][c:5]([NH:6][c:7]3[cH:8][cH:9][cH:10][n:11](-[c:12]4[cH:13][cH:14][cH:15][cH:16][n:17]4)[c:18]3=[O:19])[cH:4][c:3]([NH:2][CH3:1])[n:34]2[n:33][cH:32]1)=[O:24].[NH2:25][C@@H:26]1[CH2:27][CH2:28][C@H:29]1[O:30][CH3:31]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[NH:25][C@@H:26]3[CH2:27][CH2:28][C@H:29]3[O:30][CH3:31])[cH:32][n:33][n:34]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Cl)nc2c(C#N)cnn12>>CNc1cc(Cl)nc2c(C(=O)O)cnn12	5	N#[C:10][c:9]1[c:8]2[n:7][c:5]([Cl:6])[cH:4][c:3]([NH:2][CH3:1])[n:15]2[n:14][cH:13]1>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([Cl:6])[n:7][c:8]2[c:9]([C:10](=[O:11])[OH:12])[cH:13][n:14][n:15]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Cl)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Cl)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	6	O[C:10]([c:9]1[c:8]2[n:7][c:5]([Cl:6])[cH:4][c:3]([NH:2][CH3:1])[n:21]2[n:20][cH:19]1)=[O:11].[NH2:12][C@@H:13]1[CH2:14][CH2:15][C@H:16]1[O:17][CH3:18]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([Cl:6])[n:7][c:8]2[c:9]([C:10](=[O:11])[NH:12][C@@H:13]3[CH2:14][CH2:15][C@H:16]3[O:17][CH3:18])[cH:19][n:20][n:21]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CN.N#Cc1cnn2c(Cl)cc(Cl)nc12>>CNc1cc(Cl)nc2c(C#N)cnn12	6	[CH3:1][NH2:2].Cl[c:3]1[cH:4][c:5]([Cl:6])[n:7][c:8]2[c:9]([C:10]#[N:11])[cH:12][n:13][n:14]12>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([Cl:6])[n:7][c:8]2[c:9]([C:10]#[N:11])[cH:12][n:13][n:14]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Cl)nc2c(C#N)cnn12>>CNc1cc(Cl)nc2c(C(=O)O)cnn12	6	N#[C:10][c:9]1[c:8]2[n:7][c:5]([Cl:6])[cH:4][c:3]([NH:2][CH3:1])[n:15]2[n:14][cH:13]1>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([Cl:6])[n:7][c:8]2[c:9]([C:10](=[O:11])[OH:12])[cH:13][n:14][n:15]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Cl)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12.Nc1cccn(-c2ccccn2)c1=O>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	6	Cl[c:5]1[cH:4][c:3]([NH:2][CH3:1])[n:34]2[c:21]([n:20]1)[c:22]([C:23](=[O:24])[NH:25][C@@H:26]1[CH2:27][CH2:28][C@H:29]1[O:30][CH3:31])[cH:32][n:33]2.[NH2:6][c:7]1[cH:8][cH:9][cH:10][n:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][n:17]2)[c:18]1=[O:19]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[NH:25][C@@H:26]3[CH2:27][CH2:28][C@H:29]3[O:30][CH3:31])[cH:32][n:33][n:34]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(N)nc12.O=c1c(Br)cccn1-c1ccccn1>>CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12	7	[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH2:15])[n:29][c:30]12.Br[c:16]1[cH:17][cH:18][cH:19][n:20](-[c:21]2[cH:22][cH:23][cH:24][cH:25][n:26]2)[c:27]1=[O:28]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH:15][c:16]3[cH:17][cH:18][cH:19][n:20](-[c:21]4[cH:22][cH:23][cH:24][cH:25][n:26]4)[c:27]3=[O:28])[n:29][c:30]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	7	CCO[C:23]([c:22]1[c:21]2[n:20][c:5]([NH:6][c:7]3[cH:8][cH:9][cH:10][n:11](-[c:12]4[cH:13][cH:14][cH:15][cH:16][n:17]4)[c:18]3=[O:19])[cH:4][c:3]([NH:2][CH3:1])[n:34]2[n:33][cH:32]1)=[O:24].[NH2:25][C@@H:26]1[CH2:27][CH2:28][C@H:29]1[O:30][CH3:31]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[NH:25][C@@H:26]3[CH2:27][CH2:28][C@H:29]3[O:30][CH3:31])[cH:32][n:33][n:34]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	Clc1ccccn1.O=c1[nH]cccc1Br>>O=c1c(Br)cccn1-c1ccccn1	7	Cl[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1.[O:1]=[c:2]1[c:3]([Br:4])[cH:5][cH:6][cH:7][nH:8]1>>[O:1]=[c:2]1[c:3]([Br:4])[cH:5][cH:6][cH:7][n:8]1-[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Cl)nc12>>CCOC(=O)c1cnn2c(NC)cc(N)nc12	7	Cl[c:14]1[cH:13][c:10]([NH:11][CH3:12])[n:9]2[n:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[c:17]2[n:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH2:15])[n:16][c:17]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12	8	CC[O:25][C:23]([c:22]1[c:21]2[n:20][c:5]([NH:6][c:7]3[cH:8][cH:9][cH:10][n:11](-[c:12]4[cH:13][cH:14][cH:15][cH:16][n:17]4)[c:18]3=[O:19])[cH:4][c:3]([NH:2][CH3:1])[n:28]2[n:27][cH:26]1)=[O:24]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[OH:25])[cH:26][n:27][n:28]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	8	O[C:23]([c:22]1[c:21]2[n:20][c:5]([NH:6][c:7]3[cH:8][cH:9][cH:10][n:11](-[c:12]4[cH:13][cH:14][cH:15][cH:16][n:17]4)[c:18]3=[O:19])[cH:4][c:3]([NH:2][CH3:1])[n:34]2[n:33][cH:32]1)=[O:24].[NH2:25][C@@H:26]1[CH2:27][CH2:28][C@H:29]1[O:30][CH3:31]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[NH:25][C@@H:26]3[CH2:27][CH2:28][C@H:29]3[O:30][CH3:31])[cH:32][n:33][n:34]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(N)nc12.O=c1c(Br)cccn1-c1ccccn1>>CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12	8	[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH2:15])[n:29][c:30]12.Br[c:16]1[cH:17][cH:18][cH:19][n:20](-[c:21]2[cH:22][cH:23][cH:24][cH:25][n:26]2)[c:27]1=[O:28]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH:15][c:16]3[cH:17][cH:18][cH:19][n:20](-[c:21]4[cH:22][cH:23][cH:24][cH:25][n:26]4)[c:27]3=[O:28])[n:29][c:30]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	Clc1ccccn1.O=c1[nH]cccc1Br>>O=c1c(Br)cccn1-c1ccccn1	8	Cl[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1.[O:1]=[c:2]1[c:3]([Br:4])[cH:5][cH:6][cH:7][nH:8]1>>[O:1]=[c:2]1[c:3]([Br:4])[cH:5][cH:6][cH:7][n:8]1-[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Cl)nc12>>CCOC(=O)c1cnn2c(NC)cc(N)nc12	8	Cl[c:14]1[cH:13][c:10]([NH:11][CH3:12])[n:9]2[n:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[c:17]2[n:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9]2[c:10]([NH:11][CH3:12])[cH:13][c:14]([NH2:15])[n:16][c:17]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12	9	CC[O:25][C:23]([c:22]1[c:21]2[n:20][c:5]([NH:6][c:7]3[cH:8][cH:9][cH:10][n:11](-[c:12]4[cH:13][cH:14][cH:15][cH:16][n:17]4)[c:18]3=[O:19])[cH:4][c:3]([NH:2][CH3:1])[n:28]2[n:27][cH:26]1)=[O:24]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[OH:25])[cH:26][n:27][n:28]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	9	O[C:23]([c:22]1[c:21]2[n:20][c:5]([NH:6][c:7]3[cH:8][cH:9][cH:10][n:11](-[c:12]4[cH:13][cH:14][cH:15][cH:16][n:17]4)[c:18]3=[O:19])[cH:4][c:3]([NH:2][CH3:1])[n:34]2[n:33][cH:32]1)=[O:24].[NH2:25][C@@H:26]1[CH2:27][CH2:28][C@H:29]1[O:30][CH3:31]>>[CH3:1][NH:2][c:3]1[cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][n:17]3)[c:18]2=[O:19])[n:20][c:21]2[c:22]([C:23](=[O:24])[NH:25][C@@H:26]3[CH2:27][CH2:28][C@H:29]3[O:30][CH3:31])[cH:32][n:33][n:34]12
BWINBHTTZLVXGT-NVXWUHKLSA-N	Brc1ccccn1.O=c1[nH]cccc1Cl>>O=c1c(Cl)cccn1-c1ccccn1	9	Br[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1.[O:1]=[c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][nH:8]1>>[O:1]=[c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][n:8]1-[c:9]1[cH:10][cH:11][cH:12][cH:13][n:14]1
