tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1	6	Cl[C:9](=[O:10])[c:11]1[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][N:8]([C:9](=[O:10])[c:11]2[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]2)[c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C(C)=O)c(Cl)c1C.COc1ccc(CN)cc1>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1	6	Cl[c:9]1[c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]1[CH3:20].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH2:8])[cH:21][cH:22]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]2[CH3:20])[cH:21][cH:22]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	6	COc1ccc(C[N:11]([c:10]2[c:6]([C:7]([CH3:8])=[O:9])[cH:5][cH:4][c:3]([O:2][CH3:1])[c:22]2[CH3:23])[C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)cc1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])=[O:9])[c:10]([NH:11][C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)[c:22]1[CH3:23]
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1	7	Cl[C:9](=[O:10])[c:11]1[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][N:8]([C:9](=[O:10])[c:11]2[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]2)[c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1.C[Mg]Br>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1	7	N#[C:11][c:10]1[c:9]([NH:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:22][cH:21]2)[c:19]([CH3:20])[c:16]([O:13][CH3:18])[cH:15][cH:14]1.Br[Mg][CH3:12]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]2[CH3:20])[cH:21][cH:22]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C#N)c(N)c1C.COc1ccc(CBr)cc1>>COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1	7	[NH2:8][c:9]1[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]1[CH3:19].Br[CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:21][cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]2[CH3:19])[cH:20][cH:21]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	7	COc1ccc(C[N:11]([c:10]2[c:6]([C:7]([CH3:8])=[O:9])[cH:5][cH:4][c:3]([O:2][CH3:1])[c:22]2[CH3:23])[C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)cc1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])=[O:9])[c:10]([NH:11][C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)[c:22]1[CH3:23]
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1	8	Cl[C:9](=[O:10])[c:11]1[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][N:8]([C:9](=[O:10])[c:11]2[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]2)[c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1.C[Mg]Br>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1	8	N#[C:11][c:10]1[c:9]([NH:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:22][cH:21]2)[c:19]([CH3:20])[c:16]([O:13][CH3:18])[cH:15][cH:14]1.Br[Mg][CH3:12]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]2[CH3:20])[cH:21][cH:22]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C#N)c(N)c1C.COc1ccc(CCl)cc1>>COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1	8	[NH2:8][c:9]1[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]1[CH3:19].Cl[CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:21][cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]2[CH3:19])[cH:20][cH:21]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	8	COc1ccc(C[N:11]([c:10]2[c:6]([C:7]([CH3:8])=[O:9])[cH:5][cH:4][c:3]([O:2][CH3:1])[c:22]2[CH3:23])[C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)cc1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])=[O:9])[c:10]([NH:11][C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)[c:22]1[CH3:23]
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1	9	Cl[C:9](=[O:10])[c:11]1[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][N:8]([C:9](=[O:10])[c:11]2[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]2)[c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C#N)c(N)c1C.COc1ccc(CO)cc1>>COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1	9	[NH2:8][c:9]1[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]1[CH3:19].O[CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:21][cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]2[CH3:19])[cH:20][cH:21]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1.C[Mg]Br>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1	9	N#[C:11][c:10]1[c:9]([NH:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:22][cH:21]2)[c:19]([CH3:20])[c:16]([O:13][CH3:18])[cH:15][cH:14]1.Br[Mg][CH3:12]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]2[CH3:20])[cH:21][cH:22]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	9	COc1ccc(C[N:11]([c:10]2[c:6]([C:7]([CH3:8])=[O:9])[cH:5][cH:4][c:3]([O:2][CH3:1])[c:22]2[CH3:23])[C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)cc1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])=[O:9])[c:10]([NH:11][C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)[c:22]1[CH3:23]
GZYNUOMXGGSXMI-UHFFFAOYSA-N	CC(C)c1csc(C(=O)Cl)n1.COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1	10	Cl[C:9](=[O:10])[c:11]1[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][N:8]([C:9](=[O:10])[c:11]2[n:12][c:13]([CH:14]([CH3:15])[CH3:16])[cH:17][s:18]2)[c:19]2[c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25][c:26]([O:27][CH3:28])[c:29]2[CH3:30])[cH:31][cH:32]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C#N)c(Cl)c1C.COc1ccc(CN)cc1>>COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1	10	Cl[c:9]1[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]1[CH3:19].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH2:8])[cH:20][cH:21]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]#[N:12])[cH:13][cH:14][c:15]([O:16][CH3:17])[c:18]2[CH3:19])[cH:20][cH:21]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CNc2c(C#N)ccc(OC)c2C)cc1.C[Mg]Br>>COc1ccc(CNc2c(C(C)=O)ccc(OC)c2C)cc1	10	N#[C:11][c:10]1[c:9]([NH:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:22][cH:21]2)[c:19]([CH3:20])[c:16]([O:13][CH3:18])[cH:15][cH:14]1.Br[Mg][CH3:12]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][NH:8][c:9]2[c:10]([C:11]([CH3:12])=[O:13])[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]2[CH3:20])[cH:21][cH:22]1
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(CN(C(=O)c2nc(C(C)C)cs2)c2c(C(C)=O)ccc(OC)c2C)cc1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C	10	COc1ccc(C[N:11]([c:10]2[c:6]([C:7]([CH3:8])=[O:9])[cH:5][cH:4][c:3]([O:2][CH3:1])[c:22]2[CH3:23])[C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)cc1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])=[O:9])[c:10]([NH:11][C:12](=[O:13])[c:14]2[n:15][c:16]([CH:17]([CH3:18])[CH3:19])[cH:20][s:21]2)[c:22]1[CH3:23]
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(Br)c(Cl)c1C.[C-]#N>>COc1ccc(C#N)c(Cl)c1C	10	Br[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:11]([CH3:12])[c:9]1[Cl:10].[C-:7]#[N:8]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]#[N:8])[c:9]([Cl:10])[c:11]1[CH3:12]
